han	phien_am
南州暑濕加以瘴癘致死亡者十必四五	Nam Châu thử thấp gia dĩ chướng lệ, trí tử vong giả, thập tất tứ ngũ.
遠涉萬李士卒疲勞此至嶺南不復堪鬪	Viễn thiệp vạn lí, sĩ tốt bì lao, thử chí Lĩnh Nam bất phục kham đấu.
軍行日三十里而兖豫去日南九千餘里三百日乃到	Quân hành nhật tam thập lí, nhi Duyện Dự khứ Nhật Nam cửu thiên dư lí, tam bách nhật nãi đáo.
計人廪五升用米六十萬斛不計將吏驢馬之食	Kê nhân lẫm ngũ thăng, dụng mễ lục thập vạn hộc, bất kê tướng lại lư mã chi thực.
設軍所在死亡必既不足禦敵當復更發	Thiết quân sở tại, tử vong tất chúng, ký bất túc ngự địch, đương phục cánh phát.
此爲刻割腹心以補四肢	Thử vi khắc cát phúc tâm dĩ bổ tứ chi.
九真日南相去千里發其吏民猶且弗堪况乃苦四州	Cửu Chân, Nhật Nam tương khứ thiên lí, phát kì lại dân do thả phất kham, huống nãi khổ tứ châu..
之卒以赴萬里之難哉前中郎將尹就討益州叛羗益州諺曰虜來尙可尹來殺我	chi tốt, dĩ phó vạn lí chi nạn tai? Tiền Trung lang tướng Doãn Tựu thảo Ích Châu phản khương, Ích Châu ngạn viết: "Lỗ lai thượng khả, Doãn lai sát ngã".
後就徵還以兵付判州張喬喬因其將吏旬日之間殄滅群道	Hậu Tựu trưng hoàn, dĩ binh phó Phán châu Trương Kiều, Kiều nhân kì tướng lại, tuần nhật chi gian điễn diệt quần đạo.
此發將無益之效州郡可任之驗也	Thử phát tướng vô ích chi hiệu, châu quận khả nhiệm chi nghiệm dã.
宜更選有勇畧仁惠可任將帥者以爲刺史太守徙日南吏民北依交趾還募蠻夷使自相攻轉輸金帛以爲其資有能反間致降許以裂土之封	Nghi cánh tuyển hữu dũng lược nhân huệ, khả nhiệm tướng suý giả, dĩ vi Thứ sử, Thái thú, tỉ Nhật Nam lại dân Bắc y Giao Chỉ, hoàn mộ Man Di sử tự tương công, chuyển thâu kim bạch dĩ vi kì tư, hữu năng phản gián trí hàng hứa dĩ liệt thổ chi phong.
前并州刺史祝良性勇决張喬前在益州有破虜之功皆可任用	Tiền Tính Châu Thứ sử chúc Lương tính dũng quyết, Trương Kiều tiền tại Ích Châu hữu phá lỗ chi công, giai khả nhiệm dụng.
四府必從固議	Tứ phủ tất tòng Cố Nghị.
即拜良爲九真太守喬爲交州刺史	Tức bái Lương vi Cửu Chân Thái thú, Kiều vi Giao Châu thứ sử.
喬至開誠慰諭皆降服	Kiều chí khai thành uý dụ, chúng giai hàng phục.
良單車到九真示以威信降者數萬人	Lương đơn xa đáo Cửu Chân thị dĩ uy tín, hàng giả sổ vạn nhân.
甲申漢建康元年	Giáp Thân, [Hán Kiến Khang nguyên niên].
秋八月漢帝崩	Thu, bát nguyệt, Hán Đế băng.
冬十月日南復攻燒郡邑	Đông, thập nguyệt, Nhật Nam phục công thiêu quận ấp.
九真刺史夏方招降者而撫諭之	Cửu Chân Thứ sử Hạ Phương chiêu hàng giả nhi phủ dụ chi.
尋轉桂陽太守以劉藻代之	Tầm chuyển Quế Dương Thái thú dĩ Lưu Tảo đại chi.
庚子漢桓帝志元嘉二年	Canh Tí, [Hán Hoàn Đế Chí Nguyên Gia nhị niên].
冬十一月九真郡人復屯據日南轉強盛	Đông, thập nhất nguyệt, Cửu Chân quận nhân phục đồn cứ Nhật Nam, chúng chuyển cường thịnh.
時夏方已徙桂陽太守因復拜爲刺史	Thời Hạ Phương dĩ tỉ Quế Dương Thái thú, nhân phục bái vi thứ sử.
方威惠素著及至日南眾聚萬餘人相率諸方降	Phương uy huệ tố trứ, cập chí Nhật Nam, chúng tụ vạn dư nhân tương suất chư Phương hàng.
戊午漢灵帝宏光和元年	Mậu Ngọ, [Hán Linh Đế Hoành Quang Hoà nguyên niên].
夏四月州人及烏滸蠻久爲亂牧	Hạ, tứ nguyệt, châu nhân cập Ô Hử Man cửu vi loạn, mục..
守周喁不能禦州人梁龍等因之起兵攻破郡縣有眾數萬人	thú Chu Ngung bất năng ngự, châu nhân Lương Long đẳng nhân chi khởi binh công phá quận huyện, hữu chúng sổ vạn nhân.
辛酉漢光和四年	Tân Dậu, [Hán Quang Hoà tứ niên].
漢帝使蘭陵令會上人朱儁救喁	Hán đế sử Lan Lăng lệnh Cối Kê, Thượng Ngu nhân Chu Tuấn cứu Ngung.
道過本鄕募家兵及所調兵五千從两道入	Đạo quá bản hương, mộ gia binh cập sở điều binh ngũ thiên, tòng lưỡng đạo nhập.
先使人觀虚實宣揚威德以震動其心既而土郡兵逼進殺梁龍降者數萬人	Tiên sử nhân quan hư thực, tuyên dương uy đức dĩ chấn động kì tâm, ký nhi thổ quận binh bức tiến, sát Lương Long, hàng giả sổ vạn nhân.
甲子漢中平元年	Giáp Tí, [Hán Trung Bình nguyên niên].
州人屯兵執刺史周喁殺之遣人請闕數喁罪狀	Châu nhân đồn binh chấp Thứ sử Chu Ngung sát chi, khiển nhân thỉnh khuyết sổ Ngung tội trạng.
漢帝聞之詔精選能吏	Hán đế văn chi, chiếu tinh tuyển năng lại.
有司進東郡聊城人賈琮以爲刺史	Hữu ti tiến Đông quận Liêu Thành nhân Giả Tông dĩ vi Thứ sử.
琮初爲御史	[Tông sơ vi Ngự sử].
先是爲刺史者以	Tiên thị vi Thứ sử giả dĩ..
其地有明珠翠羽犀象玳瑁異香美材之物率無清行財計盈給輙求遷代故吏民皆叛之	kì địa hữu minh châu, thuý vũ, tê, tượng, đồi mồi, dị hương, mĩ tài chi vật, suất vô thanh, hành tài kể doanh, cấp triếp cầu thiên đại, cố lại dân giai phản chi.
及琮到部訊其叛狀僉曰前政賦歛深刻百姓莫不困乏京師遙遠無所告訴民不聊生故相聚以拒之非真叛也	Cập Tông đáo bộ, tấn kì phản trạng, thiêm viết tiền chính phú liễm thâm khắc, bách tính mạc bất khốn phạp, Kinh sư dao viễn, vô sở cáo tố, dân bất liêu sinh, cố tương tụ dĩ cự chi, phi chân phản dã.
琮乃遣人分行慰諭使各安其業招撫流亡蠲復賦歛	Tông nãi khiển nhân phân hành uý dụ, sử các an kì nghiệp, chiêu phủ lưu vong, quyên phục phú liễm.
於是誅爲苛虐之魁首者簡良吏守諸郡縣	Ư thị tru vi hà ngược chi khôi thủ giả, giản lương lại thú chư quận huyện.
百姓以安街巷爲之歌曰賈父來晚使我先反	Bách tính dĩ an, nhai hạng vi chi ca viết: "Giả phụ lai vãn, sử ngã tiên phản.
今見清平不敢復反	Kim kiến thanh bình, bất cảm phục phản".
琮任事三年徵拜議郎使李進代之李進我交州人	Tông nhiệm sự tam niên, trưng bái Nghị Lang Sử Lí Tiến đại chi [Lí Tiến ngã Giao Châu nhân].
