han	phien_am
今年寇九真明年寇交州	Kim niên khấu Cửu Chân, minh niên khấu Giao Châu.
杜慧度又破之所殺過半矣	Đỗ Tuệ Độ hựu phá chi, sở sát quá bán hĩ.
陽邁又寇九德宋檀和之討服其罪	Dương Mại hựu khấu Cửu Đức, Tống Đàn Hoà Chi thảo phục kì tội.
雖遣使入貢而盜寇如初	Tuy khiển sứ nhập cống, nhi đạo khấu như sơ.
宗慤和之長驅克林邑	Tông Xác, Hoà Chi trường khu, khắc Lâm Ấp.
陽邁幸脱虎口挺身而走	Dương Mại hạnh thoát hổ khẩu, đĩnh thân nhi tẩu.
自是南海澄波幾求戒矣	Tự thị Nam Hải đăng ba, thứ cơ cầu giới hĩ.
范志繼立又寇日南范脩破于九德終後南帝之世不敢北窺中州而其國亦段富矣	Phạm Chí kế lập hựu khấu Nhật Nam, Phạm Tu phá vu Cửu Đức, chung Hậu Nam Đế chi thế bất cảm Bắc khuy trung châu, nhi kì quốc diệc đoàn phú hĩ.
至是隋人貪其寶貨興師伐之踣其國	Chí thị, Tuỳ nhân tham kì bảo hoá, hưng sư phạt chi, bặc kì quốc..
都汙其室宫雖曰貪暴之師而蠻夷猾夏者亦可以懲矣	đô, ô kì thất cung, tuy viết tham bạo chi sư, nhi man di hoạt Hạ giả diệc khả dĩ trừng hĩ.
戊寅唐髙祖李渊武德元囝	Mậu Dần, [Đường Cao Tổ Lí Uyên, Vũ Đức nguyên niên].
夏四月欽州刺史寗長真以鬱林始安之地附於蕭銑	Hạ, tứ nguyệt, Khâm Châu Thứ sử Nịnh Trường Chân dĩ Uất Lâm, Thuỷ An chi địa phụ ư Tiêu Tiển.
漢陽太守馮盎以蒼梧髙要珠崖番禺之地附於林士弘	Hán Dương Thái thú Phùng Áng dĩ Thương Ngô, Cao Yếu, Châu Nhai, Phiên Ngung chi địa phụ ư Lâm Sĩ Hoằng.
銑士弘各遣人招交州太守丘和和不從	Tiển Sĩ Hoằng các khiến nhân chiêu Giao Châu Thái thú Khâu Hoà, Hoà bất tòng.
銑遣長真帥領南兵自海道攻和	Tiển khiển Trường Chân soái Lĩnh Nam binh tự hải đạo công Hoà.
和欲出迎之	Hoà dục xuất nghênh chi.
司法書佐髙士廉説和曰長真兵數雖多懸軍遠來粮少不䏻持久	Tư Pháp thư tá Cao Sĩ Liêm thuyết Hoà viết: "Trường Chân binh số tuy đa, huyền quân viễn lai, lương thiểu, bất năng trì cửu.
城中勝兵足以當之柰何望風受制於人	Thành trung thắng binh túc dĩ đương chi, nại hà vọng phong thụ chế ư nhân".
和從之以士廉為	Hoà tòng chi, dĩ Sĩ Liêm vi..
行軍司馬將水陸諸營逆擊破之	Hành quân tư mã, tương thuỷ lục chư doanh nghịch kích, phá chi.
長真僅以身免盡俘其眾	Trường Chân cẩn dĩ thân miễn, tận phù kì chúng.
和乃築子城城内小城也周回九百步以禦之	Hoà nãi trúc tử thành [thành nội tiểu thành dã], chu hồi cửu bách bộ dĩ ngự chi.
及隋亡納欵於唐	Cập Tuỳ vong, nạp khoản ư Đường.
唐詔李道祐持節授和交州太總管爵譚國公	Đường chiếu Lí Đạo Hựu trì tiết thụ Hoà Giao Châu Đại tổng quản, tước Đàm quốc công.
和遣士廉奉表請入朝	Hoà khiển Sĩ Liêm phụng biểu thỉnh nhập triều.
詔𭛁師迎之	Chiếu phát sư nghênh chi.
是歲隋亡	Thị tuế Tuỳ vong.
壬午唐武德五年	Nhâm Ngọ, [Đường Vũ Đức ngũ niên].
初隋末丘和為交趾太守恃隋威勢廵邊徼諸溪洞居州凡六十年餘林邑諸國遣和明珠文犀今寶故和富埒王者	Sơ, Tuỳ mạt, Khâu Hoà vi Giao Chỉ Thái thú, thị Tuỳ uy thế, tuần biên khiếu chư khê động, cư châu phàm lục thập niên dư, Lâm Ấp chư quốc khiển Hoà minh châu, văn tê, kim bảo, cố Hoà phú liệt Vương giả.
是歳唐改交趾曰安南都護府	Thị tuế, Đường cải Giao Chỉ viết An Nam Đô hộ phủ.
戊子唐太宗世民貞觀二年	Mậu Tí, [Đường Thái Tông Thế Dân, Trinh quan nhị niên].
唐宗室李壽為交趾都督貪墨得罪	Đường tông thất Lí Thọ vi Giao Chỉ đô đốc, tham mặc đắc tội.
唐帝以嬴州刺使盧祖尚才兼文武徵入朝諭曰交趾久不得人前後都督皆不稱職	Đường đế dĩ Doanh Châu Thứ sử Lư Tổ Thượng, tài kiêm văn võ, trưng nhập triều dụ viết: "Giao Chỉ cửu bất đắc nhân, tiền hậu đô đốc giai bất xứng chức.
卿有安邊之畧	Khanh hữu an biên chi lược.
為我鎮之勿以道遠為辭	vị ngã trấn chi, vật dĩ đạo viễn vi từ".
祖尚拜謝既而復悔以疾辭	Tổ Thượng bái tạ, ký nhi phục hối, dĩ tật từ.
唐帝遣杜如晦諭㫖	Đường đế khiển Đỗ Như Hối dụ chỉ.
固辭	Cố từ.
又遣其妻兄周範往諭之曰匹夫相許猶䏻存信卿靣許朕𡸈得皆之宜可早行三年必召朕不食言	Hựu khiển kì thê huynh Chu Phạm vãng dụ chi viết: "Thất phu tương hứa do năng tồn tín, khanh diện hứa trẫm khởi đắc giai chi? Nghi khả tảo hành, tam niên tất triệu, trẫm bất thực ngôn".
對曰嶺南瘴癘去無還理	Đối viết: "Lĩnh Nam chướng lệ, khứ vô hoàn lí".
唐帝怒曰我使人不行何以為政命	Đường đế nộ viết: "Ngã sử nhân bất hành, hà dĩ vi chính mệnh?".
斬於朝堂	Trảm ư triều đường.
尋悔復其官蔭	Tầm hối, phục kì quan ấm.
史臣吳士連曰君使臣以禮臣事君以中	Sử thần Ngô Sĩ Liên viết: Quân sử thần dĩ lễ, thần sự quân dĩ trung.
唐太宗使臣不行諭之至再可謂有禮也	Đường Thái Tông sử thần bất hành, dụ chi chí tái, khả vị hữu lễ dã.
祖尚於王事辭難失節矣既許復悔失信矣言辭憤激失禮矣	Tổ Thượng ư vương sự từ nan, thất tiết hĩ; ký hứa phục hối, thất tín hĩ; ngôn từ phẫn khích, thất lễ hĩ.
太宗殺之雖過而祖尚具此三失罪何如哉乙未唐貞觀九年	Thái Tông sát chi tuy quá, nhi Tổ Thượng cụ thử tam thất, tội hà như tai? Ất Mùi, [Đường Trinh Quán cửu niên].
唐宗室李道興為交州都督以瘴癘卒于官	Đường Tông thất Lí Đạo Hưng vi Giao Châu Đô đốc, dĩ chướng lệ tốt vu quan.
丁亥唐中宗哲嗣聖四年	Đinh Hợi, [Đường Trung Tông Triết, Tự Thánh tứ niên].
秋七月嶺南俚戶舊輸半課都護劉延祐使之全輸	Thu, thất nguyệt, Lĩnh Nam Lí hộ cựu thâu bán khoá, Đô hộ Lưu Diên Hựu sử chi toàn thâu.
俚戶始怒謀作亂	Lí hộ thuỷ nộ, mưu tác loạn.
李嗣先為謀	Lí Tự Tiên vi mưu..
主延祐殺之	chủ, Diên Hựu sát chi.
其餘黨丁建等合眾園府城	Kì dư đảng Đinh Kiến đẳng hợp chúng viên phủ thành.
城中兵少不支壘待援	Thành trung binh thiểu bất chi, anh luỹ đãi viện.
廣州大族馮子由幸立功按兵不出	Quảng Châu Đại tộc Phùng Tử Do hạnh lập công, án binh bất xuất.
建殺延祐	Kiến sát Diên Hựu.
後桂州司馬曹直静攻建殺之	Hậu Quế Châu Tư mã Tào Trực Tĩnh công Kiến sát chi.
壬戌唐玄宗隆基開元十年	Nhâm Tuất, [Đường Huyền Tông, Long Cơ, Khai Nguyên thập niên].
賊帥梅叔鸞㨿州稱黑帝外結林邑真臘人等眾號三十萬	Tặc soái Mai Thúc Loan cứ châu, xưng Hắc Đế, ngoại kết Lâm Ấp, Chân Lạp nhân đẳng, chúng hiệu tam thập vạn.
唐帝遣内侍左監門衛將軍楊思朂都護元楚客討平之	Đường Đế khiển Nội thị tả giám môn vệ tướng quân Dương Tư Húc, Đô hộ Nguyên Sở Khách thảo bình chi.
戊戌唐肅宗亨至德三年	Mậu Tuất, [Đường Túc Tông Hanh, Chí Đức tam niên].
唐改安南都護府曰鎮南都護府	Đường cải An Nam Đô hộ phủ viết Trấn Nam đô hộ phủ.
丁未唐代宗豫大曆二年	Đinh Mùi, [Đường Đại Tông Dự, Đại Lịch nhị niên].
崑崙闍婆來寇攻𨺻州城	Côn Lôn, Chà Bà lai khấu, công thao châu thành.
經畧使張伯儀求援於武定都尉髙正平	Kinh lược sứ Trương Bá Nghi cầu viện ư Vũ Định đô uý Cao Chính Bình.
援兵至破崑崙	Viện binh chí, phá Côn Lôn..
闍婆軍於朱鳶	Chà Bà quân ư Chu Diên.
伯儀更築羅城	Bá Nghi cánh trúc La Thành.
時有全節婦者交州陶齊亮母也常以忠義誨亮亮頑狠不聽遂絶之自田而食自織而衣州里法焉	Thời hữu Toàn tiết phụ giả Giao Châu, Đào Tề Lượng mẫu dã, thường dĩ trung nghĩa húc Lượng, Lượng ngoan ngận bất thính, toại tuyệt chi, tự điền nhi thực, tự chức nhi y, châu lí pháp yên.
唐帝詔賜两丁侍養令本道四時撫問	Đường đế chiếu tứ lưỡng đinh thị dưỡng, lệnh bản đạo tứ thời vỗ vấn.
戊申唐大曆三年	Mậu Thân, [Đường Đại Lịch tam niên].
唐復交州為安南都護府	Đường phục Giao Châu vi An Nam Đô hộ phủ.
甲子唐德宗适興元元年	Giáp Tí, [Đường Đức Tông Quát, Hưng Nguyên nguyên niên].
九真姜公輔仕于唐第進士補校書郎	Cửu Chân Khương Công Phụ sĩ vu Đường, đệ tiến sĩ, bổ Hiệu Thư Lang.
以制策異等授右拾遺翰林學士兼京兆戶曹參軍嘗請誅朱泚唐帝不從	Dĩ chế sách dị đẳng, thụ Hữu thập di Hàn Lâm học sĩ, kiêm Kinh triệu hộ tào tham quân, thường thỉnh tru Chu Thử, Đường đế bất tòng.
俄而京師亂唐帝自苑門出公輔又叩馬諫曰泚嘗帥涇原得士心	Nga nhi kinh sư loạn, Đường đế tự Uyển môn xuất, Công Phụ hựu khấu mã gián viết: "Thử thường soái Kinh Nguyên, đắc sĩ tâm,..
以朱滔叛奪其兵權居常怫鬱請馳捕以從無為群兇兒得之	dĩ Chu Thao phản sáo kì binh quyền, cư thường phật uất, thỉnh trì bổ dĩ tòng, vô vi quần hung nhi đắc chi".
唐帝倉卒不及聽既行欲駐鳳翔倚張鎰	Đường đế thương tốt bất cập thính, ký hành dục trú Phượng Tường ỷ Trương Dật.
公輔曰鎰雖信臣然文吏也所領皆朱泚部曲漁陽突騎	Công Phụ viết: "Dật tuy tín thần, nhiên văn lại dã, sở lĩnh giai Chu Thử bộ khúc Ngư Dương đột kị.
泚若直趍涇原為變非萬全策也	Thử nhược trực xu Kinh Nguyên vi biến, phi vạn toàn sách dã".
遂之奉天	Toại chi Phụng Thiên.
有言泚反者請為守備	Hữu ngôn Thử phản giả, thỉnh vi thủ bị.
唐帝聽盧之訁詔諸道兵距城一舍而止欲待泚奉迎	Đường đế thính Lư Kỷ chi ngôn, chiếu chư đạo binh cự thành nhất xá nhi chỉ, dục đãi Thử phụng nghênh.
公輔曰王者不嚴武備無以重威靈	Công Phụ viết: "Vương giả bất nghiêm vũ bị vô dĩ trọng uy linh.
今禁旅單寡而士馬處外臣為陛下危之	Kim cấm lữ đơn quả nhi sĩ mã xứ ngoại, thần vi bệ hạ nguy chi".
唐帝曰善悉徵入内	Đường đế viết thiện, tất trưng nhập nội.
泚兵果至如所言	Thử binh quả chí như sở ngôn.
乃擢為諫議大夫同中書門下平章事	Nãi trạc vi Gián Nghị Đại phu, Đồng trung thư môn hạ bình chương sự.
後	Hậụ.
諫厚塟唐安公主忤㫖陸贄爲奏觧之不能回竟下遷太子左庶子又貶泉州别駕	gián hậu táng Đường An công chúa, ngỗ chỉ, Lục Chí vi tấu giải chi, bất năng hồi, cánh hạ thiên Thái tử tả thứ tử, hựu biếm Tuyền Châu biệt giá.
唐順宗即位拜吉州刺史未就官卒	Đường Thuận Tông tức vị, bái Cát Châu thứ sử, vị tựu quan tốt.
弟姜公復亦舉進士終北部侍郎	Đệ Khương Công Phục diệc cử Tiến sĩ, chung Bắc bộ thị lang.
辛未唐貞元七年	Tân Mùi, [Đường Trinh Nguyên thất niên].
春安南都護府髙正平為政重歛	Xuân, An Nam Đô hộ phủ Cao Chính Bình vi chính trọng liêm.
夏四月交州唐林人唐林在福祿縣馮興起兵圍府	Hạ, tứ nguyệt, Giao Châu Đường Lâm nhân [Đường Lâm tại Phúc Lộc Huyện] Phùng Hưng khởi binh vi phủ.
政平以憂子	Chính Bình dĩ ưu tử.
先是馮興豪富有勇力能排牛搏虎	Tiên thị Phùng Hưng hào phú, hữu dũng lực, năng bài ngưu bác hổ.
於唐代宗大曆中因交州亂與其弟駭相率復諸隣邑興號都君駭號都保與正平相攻久不能克	Ư Đường Đại Tông Đại Lịch trung, nhân Giao Châu loạn, dữ kì đệ Hãi tương suất phục chư lân ấp, Hưng hiệu Đô Quân, Hãi hiệu Đô Bảo, dữ Chính Bình tương công, cửu bất năng khắc.
至是用	Chí thị dụng..
本鄕人杜英翰計率眾圍府	bản hương nhân Đỗ Anh Hàn kế, suất chúng vi phủ.
正平憂憤成疾𭛁背死	Chính Bình ưu phẫn thành tật phát bối tử.
因居府治未幾卒	Hưng nhân cư phủ trị, vị cơ tốt.
子安尊為布盖大王俗謂父曰布母曰盖故以為名焉	Tử An tôn vi Bố Cái Đại Vương [tục vị phụ viết Bố, mẫu viết Cái cố dĩ vi danh yên].
王能顯靈異眾以為神乃於都府之西立祠歳時奉祀即孚佑彰信崇義布盖大王	Vương năng hiển linh dị, chúng dĩ vi thần, nãi ư đô phủ chi Tây lập từ, tuế thời phụng tự [tức Phù hựu Chương tín sùng nghĩa Bố Cái Đại Vương.
其神祠今在盛光坊耤田東西	Kì thần từ kim tại Thịnh Quang phường, tịch điền đông tây].
五月辛巳唐置柔遠軍於府治	Ngũ nguyệt, Tân Tị, Đường trí Nhu Viễn quân ư phủ trị.
秋七月庚辰唐以趙昌為都護	Thu, thất nguyệt, Canh Thìn, Đường dĩ Triệu Xương vi Đô hộ.
昌入境眾心遂安	Xương nhập cảnh, chúng tâm toại an.
昌遣使諭安安率眾降	Xương khiển sứ dụ An, An suất chúng hàng.
昌增築羅城稍復牢固在位十七年以足疾乞還	Xương tăng trúc La Thành sảo phục lao cố, tại vị thập thất niên, dĩ túc tật khất hoàn.
許之以兵部郎中裴泰代昌	Hứa chi, dĩ Binh bộ lang trung Bùi Thái đại Xương.
癸未唐貞元十九年	Quý Mùi, [Đường Trinh Nguyên thập cửu niên].
都督裴泰剷去城中溝地城合為一	Đô đốc Bùi Thái sản khứ thành trung cấu địa, thành hợp vi nhất..
城溝地一	thành cấu địa nhất.
作溝池州將王季元逐泰	tác cấu trì] Châu tướng Vương Quý Nguyên trục Thái.
唐帝召昌問状昌年踰七十奏事精白	Đường đế triệu Xương vấn trạng, Xương niên du thất thập, tấu sự tinh bạch.
唐帝奇之復拜交州都護	Đường đế kì chi, phục bái Giao Châu Đô hộ.
昌至州人相賀亂乃定	Xương chí, châu nhân tương hạ, loạn nãi định.
戊子唐憲宗純元和三年	Mậu Tí, [Đường Hiến Tông Thuần, Nguyên Hoà tam niên].
張舟為交州都護初舟為經畧判官至是迁為都護增築大羅城造艨艟短船也	Trương Chu vi Giao Châu Đô hộ [Sơ Chu vi Kinh lược phán quan, chí thị thiên vi Đô hộ], tăng trúc Đại La thành, tạo mông đồng [đoản thuyền dã].
三百艘每船戰手二十五人槕手二十三人槕船向背疾如風	tam bách sưu, mỗi thuyền chiến thủ nhị thập ngũ nhân, trác thủ nhị thập tam nhân, trác thuyền hướng bối, tật như phong.
又築驩愛二城以其城前被環王即占城王故攻毀也	Hựu trúc Hoan Ái nhị thành, dĩ kì thành tiền bị Hoàn Vương [tức Chiêm Thành Vương] cố công huỷ dã.
己亥唐元和十四年	Kỉ Hợi, [Đường Nguyên Hoà thập tứ niên].
冬十月都護李象古以貪縱苛刻失眾心其將楊清世為蛮酋唐開元間為驩州刺史	Đông, thập nguyệt, Đô hộ Lí Tượng Cổ dĩ tham tung hà khắc thất chúng tâm, kì tướng Dương Thanh thế vi Man tù, Đường Khai Nguyên gian, vi Hoan Châu thứ sử.
象古忌之召為牙將至是令討黃洞蠻	Tượng Cổ kị chi, triệu vi nha tướng, chí thị lệnh thảo Hoàng Động man.
清因人心忿怒夜還襲州𨺻之殺象古	Thanh nhân nhân tâm phẫn nộ, dạ hoàn tập châu, thao chi, sát Tượng Cổ.
清交州人象古唐宗室人	[Thanh Giao Châu nhân, Tượng Cổ Đường Tông thất nhân].
詔桂仲攻清不克	Chiếu Quế Trọng công Thanh bất khắc.
清入諸蠻獠中作乱剽畧城府都護李元嘉攻之不克誘之不來	Thanh nhập chư Man Lạo trung tác loạn, phiêu lược thành phủ, Đô hộ Lí Nguyên Gia công chi bất khắc, dụ chi bất lai.
由是黃洞蠻引環王入寇	Do thị Hoàng Động Man dẫn Hoàn Vương nhập khấu.
甲辰唐穆宗恒長四年	Giáp Thìn, [Đường Mục Tông Hằng, Trường Khánh tứ niên].
冬十一月李元嘉以城門有逆水恐州人多生叛意因移今城焉	Đông, thập nhất nguyệt, Lí Nguyên Gia dĩ thành môn hữu nghịch thuỷ, khủng châu nhân đa sinh phản ý, nhân di kim thành yên.
時元嘉移撫治於有相者曰君力不足築大城五十年後必有姓髙者於此定都建府	[Thời Nguyên Gia di phủ trị ư Tô Lịch giang, phương trúc tiểu thành, hữu tướng giả viết: Quân lực bất túc trúc đại thành, ngũ thập niên hậu tất hữu tính Cao giả ư thử định đô kiến phủ.
至咸通中髙駢增築羅城果如其言	Chí Hàm Thông trung, Cao Biền tăng trúc La thành. Quả như kì ngôn.
又按前此都護府城今在東關外城之羅城後髙駢築今城外亦謂之羅城	Hựu án: Tiền thử Đô hộ phủ thành, kim tại Đông Quan ngoại thành, chi La Thành, hậu Cao Biền trúc kim thành, ngoại diệc vị chi La Thành].
謂	vị..
戊申唐文宗涵太和二年	Mậu Thân, [Đường Văn Tông Hàm, Thái Hoà nhị niên].
都護韓約擊峯州王昇朝克之後為楊清所逐奔還廣州	Đô hộ Hàn Ước kích Phong Châu Vương Thăng Triều, khắc chi, hậu vi Dương Thanh sở trục, bôn hoàn Quảng Châu.
辛酉唐武宗炎會昌元年	Tân Dậu, [Đường Vũ Tông Viêm, Hội Xương nguyên niên].
唐詔之武渾代韓約為經畧使	Đường chiếu chi Vũ Hồn đại Hàn Ước vi Kinh lược sứ.
癸亥唐會昌三年	Quý Hợi, [Đường Hội Xương tam niên].
經畧使武渾役將士治城府將士作亂燒城樓刧府庫渾奔廣州	Kinh lược sứ Vũ Hồn dịch tướng sĩ trị thành phủ, tướng sĩ tác loạn, thiêu thành lâu, kiếp phủ khố, Hồn bôn Quảng Châu.
監軍段士則撫安乱眾	Giám quân Đoàn Sĩ Tắc phủ an loạn chúng.
丙寅唐會昌六年	Bính Dần, [Đường Hội Xương lục niên].
南蠻入寇唐詔經畧使裴元又帥鄰道兵討平之	Nam Man nhập khấu, Đường chiếu Kinh lược sứ Bùi Nguyên Hựu soái lân đạo binh thảo bình chi.
丁丑唐宣宗大中十一年	Đinh Sửu, [Đường Tuyên Tông Thầm, Đại Trung thập nhất niên].
夏四月唐以右千牛衞大將軍	Hạ, tứ nguyệt, Đường dĩ Hữu Thiên ngưu vệ đại tướng quân..
朱涯為交州經畧使	Châu Nhai vi Giao Châu Kinh lược sứ.
戊寅唐大中十二年	Mậu Dần, [Đường Đại Trung thập nhị niên].
春正月唐以康王傅王式為交州經畧都護使	Xuân, chính nguyệt, Đường dĩ Khang Vương phó Vương Thức vi Giao Châu Kinh lược đô hộ sứ.
式有才畧至府樹芀木為梄深塹其外泄城中水塹植刺竹寇不能教士卒甚銳	Thức hữu tài lược, chí phủ thụ đao mộc vi dậu, thâm khiếm kì ngoại tiết thành trung thuỷ, khiếm ngoại thực thích trúc, khấu bất năng cốt, tuyển giáo sĩ tốt thậm nhuệ. 󰟸
之南蠻大至屯錦田步頭去州半日程	Khoảnh chi, Nam man đại chí, đồn Cẩm Điền bộ đầu, khứ châu bán nhật trình.
式意思安閒遣譯諭之陳其利害蠻一夜引去遣人謝之曰我自執叛獠耳非為寇也	Thức ý tứ an nhàn, khiển dịch dụ chi, trần kì lợi hại, Man nhất dạ dẫn khứ, khiển nhân tạ chi viết: "Ngã tự chấp phản Lạo nhĩ, phi vi khấu dã".
又有都校羅行恭都校猶言都將久專府政麾下精兵二千都護中軍纔嬴兵數百	Hựu hữu Đô hiệu La Hành Cung [Đô hiệu do ngôn Đô tướng], cửu chuyên phủ, chính huy hạ tinh binh nhị thiên, đô hộ trung quân tài doanh binh sổ bách.
初都護李琢為政貪	Thức chí trượng kì bối, truất ư biên khiếu.
暴強市蠻中牛馬一頭止與盐一斗又殺蠻酋長杜存誠羣蠻怒怨導南詔侵盗邊境	bạo, cưỡng thị Man trung ngưu mã, nhất đầu chỉ dữ diêm nhất đấu, hựu sát Man Tù trưởng Đỗ Tồn Thành, quần Man nộ oán, đạo Nam Chiếu xâm đạo biên cảnh.
峯州桃林西原舊有防冬兵六千其傍七舘洞蠻酋長李由獨常助之戍守輸租税	Phong Châu, Đào Lâm, Tây Nguyên cựu hữu phòng đông binh lục thiên, kì bàng Thất Quán Động Man Tù trưởng Lí Do Độc, thường trợ chi thú thủ thâu tô thuế.
知峯州者缺姓名言於琢請罷戍兵專委由獨防	Tri Phong Châu giả [Khuyết tính danh] ngôn ư Trác thỉnh bãi thú binh, chuyên uỷ Do Độc phòng ve-chu.
於是由獨勢孤不能自立	Ư thị, Do Độc thế cô, bất năng tự lập.
南詔拓節度拓東言將開拓東境也交趾南詔東故置焉以書誘之以女婦其子補拓東拓牙	Nam Chiếu Thác Đông tiết độ, [Thác Đông ngôn tướng Khai thác Đông Cảnh dã Giao Chỉ Nam Chiếu Đông, cố trí yên] dĩ thư dụ chi, dĩ nữ phụ kì tử, bổ Thác Đông Thác Nha.
由獨遂率其眾臣於南詔	Do Độc toại suất kì chúng thần ư Nam Chiếu.
自是交州始有蠻患也	Tự thị Giao Châu thuỷ hữu Man hoạn dã.
是年五月蠻來寇式却之	Thị niên ngũ nguyệt, Man lai khấu, Thức khước chi.
秋七月有惡民屢為亂聲言聞經畧使朱涯朱涯在廣	Thu, thất nguyệt, hữu ác dân lũ vi loạn, thanh ngôn: "Văn Kinh lược sứ Châu Nhai [Châu Nhai tại Quảng..
州使麾下挍黃頭軍以黃頭號黃頭軍渡海來襲我矣	Châu sử huy hạ giáo Hoàng đầu quân [dĩ hoàng cốt đầu hiệu Hoàng đầu quân], độ hải lai tập ngã hĩ".
相與夜為城皷譟願送式北㱕我欲頓此城比禦黃頭軍	Tương dữ dạ vi thành, cổ táo: "Nguyện tống Thức bắc quy, ngã dục đồn thử thành tỉ ngự Hoàng đầu quân".
式方食或勸出避之	Thức phương thực, hoặc khuyên xuất tị chi.
式曰吾足一動則城潰也	Thức viết: "Ngô túc nhất động tắc thành hội dã".
徐食畢擐甲率左右登城建大將旗坐而責之	Từ thực tất, hoạn giáp suất tả hữu đăng thành, kiến Đại tướng kì, toạ nhi trách chi.
亂者反走	Loạn giả phản tẩu.
明日悉捕誅之	Minh nhật, tất bổ tru chi.
時饑亂相繼六年無上供上供者錢帛之師以供上用也輸軍中無賞	Thời cơ loạn tương kế, lục niên vô thượng cung, [thượng cung giả tiền bạch chi Sư dĩ cung thượng dụng dã], thâu quân trung vô khao thưởng.
式始修貢賦享士卒	Thức thuỷ tu cống phú, hưởng sĩ tốt.
占城真臘皆復通使	Chiêm Thành, Chân Lạp giai phục thông sứ.
庚辰唐懿宗咸通元年	Canh Thìn, [Đường Ý Tông Thôi, Hàm Thông nguyên niên].
春浙東賊裘甫作亂	Xuân, Chiết Đông tặc Cừu Phủ tác loạn.
唐議選將平之	Đường nghị tuyển tướng bình chi.
夏侯孜曰王式雖儒家子前在安南威服華夷	Hạ Hầu Tư viết: "Vương Thức tuy nho gia tử, tiền tại An Nam uy phục Hoa Di,..
各聞遠地可任也	các văn viễn địa, khả nhiệm dã".
御拜浙東觀察使	Ngự bái Chiết Đông Quan sát sứ.
冬十一月戊申土蠻引南詔兵合三萬餘人乘虚攻我府𨺻之	Đông, thập nhất nguyệt, Mậu Thân, thổ man dẫn Nam chiếu binh hợp tam vạn dư nhân, thừa hư công ngã phủ thao chi.
都護李鄠與監軍奔武州	Đô hộ Lí Hộ dữ giám quân bôn Vũ Châu.
