han	phien_am
史臣吳士連曰吳南晋以義除殘克復舊物足以慰祖宗之靈紓神人之憤	Sử thần Ngô Sĩ Liên viết: Ngô Nam Tấn dĩ nghĩa trừ tàn, khắc phục cựu vật, túc dĩ uý tổ tông chi linh, thư thần nhân chi phẫn.
其於政治方覩惟新而乃以仁姑息不正三哥篡奪之刑武黜干戈反為唐阮妄動之舉終以自斃惜哉吳使軍凣二年	Kì ư chính trị, phương đổ duy tân, nhi nãi dĩ nhân cô tức, bất chính Tam Kha thoán đoạt chi hình; vũ truất can qua, phản vi Đường Nguyễn vọng động chi cử, chung dĩ tự tệ, tích tai! Ngô Sứ Quân Phàm nhị niên.
附各使軍	Phụ các Sứ quân.
姓吳諱昌熾天策王避難時取南江女之所生南晋王之姪也	Tính Ngô, huý Xương Xí, Thiên Sách Vương tị nạn thời, thủ Nam Sách Giang nữ chi sở sinh, Nam Tấn Vương chi điệt dã.
丙寅十六年宋乾德四年	Bính Dần, thập lục niên, [Tống Càn Đức tứ niên].
南晉亡羣䧺𧡟起各據郡邑自守吳昌熾據平橋矯公罕稱矯三制據峯州今白鶴縣阮	Nam Tấn vong, Quần hùng quan khởi các cứ quận ấp tự thủ: Ngô Xương Xí cứ Bình Kiều, Kiểu Công Hãn, [xưng Kiểu Tam Chế] cứ Phong Châu, [kim Bạch, hạc huyện] Nguyễn..
寬稱阮太平據三帶吳日慶稱吳覧公據唐林一云據膠水杜景碩稱杜景公據杜洞江李圭稱李朗公據超類阮守捷稱阮令公據僊遊吕唐稱吕佐公據細江阮超稱阮右公據西扶烈矯順稱矯令公據回湖今華溪縣陳舍社猶有城故址在范白虎稱防遏范據據藤州陳覽稱陳明公據布海口號十二使君	Khoan [xưng Nguyễn Thái Bình] cứ Tam Đái, Ngô Nhật Khánh [xưng Ngô Lãm Công] cứ Đường Lâm, [nhất vân cứ Giao Thuỷ] Đỗ Cảnh Thạc [xưng Đỗ Cảnh Công] cứ Đỗ Động Giang, Lí Khuê [xưng Lí Lãng Công] cứ Siêu Loại, Nguyễn Thủ Tiệp [xưng Nguyễn Lệnh Công] cứ Tiên Du, Lữ Đường [xưng Lữ Tá Công] cứ Tế Giang, Nguyễn Siêu [xưng Nguyễn Hữu Công] cứ Tây Phù Liệt, Kiểu Thuận [xưng Kiểu Lệnh Công] cứ Hồi Hồ [kim Hoa Khê huyện, Trần xá xã Do hữu thành cố chỉ tại], Phạm Bạch Hổ [xưng Phòng Át] Phạm cứ cứ Đằng Châu, Trần Lãm [xưng Trần Minh Công] cứ Bố Hải Khẩu, hiệu Thập nhị sứ quân.
丁卯十七年宋乾德五年	Đinh Mão, thập thất niên [Tống Càn Đức ngũ niên].
時海内無主十二使君爭長莫䏻相統	Thời hải nội vô chủ, Thập nhị sứ quân tranh trưởng, mạc năng tương thống.
丁部領聞陳明公有德而無嗣乃與其子璉往依之	Đinh Bộ Lĩnh văn Trần Minh Công hữu đức nhi vô tự, nãi dữ kì tử Liễn vãng ỷ chi.
明公見其形貌魁奇又有噐量因養為己子愛遇之恩日益隆厚因授領兵使攻羣䧺	Minh Công kiến kì hình mạo khôi kì, hựu hữu khí lượng, nhân dưỡng vi kỷ tử, ái ngộ chi ân nhật ích long hậu, nhân thụ lĩnh binh, sử công quần hùng..
皆拨之	giai bạt chi.
范防遏以兵降丁朝為親衛将軍	Phạm Phòng Át dĩ binh hàng [Đinh triều vi Thân Vệ tướng quân].
及明公卒會杜洞江吳先主子弟五百人餘率眾來攻纔入烏蠻終為鄕人吳副使所敗而還	Cập Minh Công tốt, hội Đỗ Động Giang, Ngô Tiên Chủ tử đệ ngũ bách nhân dư suất chúng lai công, tài nhập Ô Man chung vi hương nhân Ngô Phó sứ sở bại nhi hoàn.
部領聞之舉兵攻其江及洞部落無不服者	Bộ Lĩnh văn chi, cử binh công kì giang cập động, bộ lạc vô bất phục giả.
自此京府史民皆心㱕之	Tự thử, kinh phủ sử dân giai tâm quy chi.
吳氏亡	Ngô thị vong.
史臣吳士連曰天地之運否必有泰北南同一理也	Sử thần Ngô Sĩ Liên viết: Thiên địa chi vận, phủ tất hữu thái, Bắc Nam đồng nhất lí dã.
北朝五代壞亂而宋太祖起	Bắc triều Ngũ đại hoại loạn, nhi Tống Thái Tổ khởi.
南朝十二使軍分擾而丁先皇興	Nam triều Thập nhị sứ quân phân nhiễu, nhi Đinh Tiên Hoàng hưng.
非偶然也天也	Phi ngẫu nhiên dã, thiên dã.
右吳氏三王并楊三哥僣位起己亥終丁卯	Hữu Ngô thị tam vương tịnh Dương Tam Kha tiếm vị, khởi Kỷ Hợi, chung Đinh Mão,..
共二十九年	cộng nhị thập cửu niên.
大越史記外紀全書卷之五終	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư quyển chi ngũ chung.
