han	phien_am
則我越人才得與漢人同選者李琴李進有以開之也	Tắc ngã Việt nhân tài đắc dữ Hán nhân đồng tuyển giả Lí Cầm, Lí Tiến hữu dĩ khai chi dã.
重日南人初入洛正旦大會晋明帝曰日南北視日耶重對曰今郡中有雲者不必有其實至於風氣暄暖日影仰於生民之	[Trọng Nhật Nam nhân sơ nhập Lạc, chính đán đại hội, Tấn Minh Đế viết: "Nhật Nam bắc thị nhật da?" Trọng đối viết" "Kim quận trung hữu Vân giả bất tất hữu kì thực. Chí ư phong khí huyên noãn, nhật ảnh ngưỡng ư sinh dân chi..
上則有之矣按宋文帝元嘉中南征林邑五月立表望之日在表北九寸一分交州影在表南三寸三分交州去洛水六七千餘里表取其絃直當下千里唐開元十二年測交州夏至影在表南三寸三分與元嘉所測同王充論衡曰日南郡去洛且萬里爲日南李筌曰安南府至長安七千二百五十里孟琯云以四方揆之安南適當中國表地耳	thượng tắc hữu chi hĩ". Án Tống Văn Đế Nguyên Gia trung, nam chinh Lâm Ấp, ngũ nguyệt, lập biểu vọng chi nhật tại biểu bắc cửu thốn nhất phân, Giao Châu ảnh tại biểu nam tam thốn tam phân. Giao Châu khứ Lạc thuỷ lục thất thiên dư lí. biểu thủ kì huyền trực đương hạ thiên lí. Đường Khai Nguyên thập nhị niên, trắc Giao Châu hạ chí, ảnh tại biểu nam tam thốn tam phân, dữ Nguyên Gia sở trắc đồng. Vương Sung Luận Hành viết: "Nhật Nam quận khứ Lạc thả vạn lí vi Nhật Nam. Lí Thuyên viết: "An Nam phủ chí Trường An thất thiên nhị bách ngũ thập lí". Mạnh quản vân: "Dĩ tứ phương quỹ chi An Nam thích đương Trung Quốc biểu địa nhĩ"].
史臣吳士連曰君子於辭不可已也	Sử thần Ngô Sĩ Liên viết: Quân tử ư từ bất khả dĩ dã.
昔𩱛蔑如無辭則終與草木俱腐矣	Tích Tông Miệt như vô từ tắc chung dữ thảo mộc cụ hủ hĩ.
李琴苟無辭何以見用於世而我越英特之才北人安得而知之哉辭之不可已也如此夫	Lí Cầm cẩu vô từ hà dĩ kiến dụng ư thế, nhi ngã Việt anh đặc chi tài, bắc nhân an đắc nhi tri chi tai? Từ chi bất khả dĩ dã như thử phù.
雖然此特爲人才論若顔閔則無是言矣	Tuy nhiên thử đặc vi nhân tài luận, nhược Nhan, Mẫn tắc vô thị ngôn hĩ.
丁亥二十一年漢建安十二年	Đinh Hợi, nhị thập nhất niên [Hán Kiến An thập nhị niên].
漢袁徽遺尙書令荀彧書曰交州士府君既學問優博又達於從政處大亂之中保全一郡二十餘年彊場無事民不失業羈旅之徒皆蒙其慶雖竇融保河西曷以加之	Hán Viên Huy di thượng thư lệnh Tuân Úc thư viết: "Giao Châu Sĩ phủ quân ký học vấn ưu bác hựu đạt ư tòng chính, xử đại loạn chi trung, bảo toàn nhất quận nhị thập dư niên, cường trường vô sự, dân bất thất nghiệp, ký lữ chi đồ giai mông kì khánh, tuy Đậu Dung bảo Hà Tây hạt dĩ gia chi.
官事少閑輙玩書傳	Quan sự thiểu nhàn, triếp ngoạn thư truyện.
春秋左氏傳凣簡籍無徵輙以咨問即傳諸疑皆有師説意思詳密	Xuân Thu, Tả thị truyện, phàm giản tịch vô trưng, triếp dĩ tư vấn tức truyện chư nghi, giai hữu sư thuyết, ý tư tường mật.
又尙書古今大義詳備	Hựu Thượng Thư cổ kim đại nghĩa tường bị.
兄弟並爲列郡雄長一州偏在萬里威尊無上	Huynh đệ tịnh vi liệt quận, hùng trưởng nhất châu, thiên tại vạn lí, uy tôn vô thượng.
出入鳴鍾磬備具威儀笳皷箫吹車騎满道胡人夾轂焚香者常有數十妻妾居輜軿子弟從	Xuất nhập minh chung khánh, bị cụ uy nghi; già cổ tiêu xuy, xa kị mãn đạo, Hồ nhân giáp cốc phần hương giả thường hữu sổ thập; thê thiếp cư truy bỉnh, tử đệ tòng..
兵騎當時貴重震服百蠻尉佗不能逾也	binh kị, đương thời quý trọng, chấn phục bách Man, Uý Đà bất năng du dã".
徽時寓交州	[Huy thời ngụ Giao Châu].
及漢帝遣張津爲刺史津守任在漢津建安六年	Cập Hán Đế khiển Trương Tân vi thứ sử [Tân thú nhiệm tại Hán Tân Kiến An lục niên].
好鬼神事常著絳鄚頭巾皷琴燒香讀道書云可以助化爲其將區景所殺而荆州牧劉表遣零陵令賴恭代津	hiếu quỷ thần sự, thường trữ giáng mạc đầu cân, cổ cầm, thiêu hương, độc Đạo thư, vân khả dĩ trợ hoá, vị kì tướng Khu Cảnh sở sát, nhi Kinh Châu mục Lưu Biểu khiển Linh Lăng lệnh Lại Cung đại Tân.
漢帝聞津死賜王玺書曰交州絶域南江海上恩不宣下義壅塞如逆賊劉表又遣賴恭窺看南土今以卿爲綏南中郎將董督七郡領交州太守如故	Hán đế văn Tân tử, tứ vương tỉ thư viết: "Giao Châu tuyệt vực, nam đái giang hải, thượng ân bất tuyên, hạ nghĩa ung tắc, như nghịch tặc Lưu biểu hựu khiển Lại Cung khuy khán nam thổ, kim dĩ khanh vi Tuy Nam trung lang tướng đổng đốc thất quận, lĩnh Giao Châu Thái thú như cố".
王遣吏張旻奉貢請漢京都	Vương khiển lại Trương Mân phụng cống thỉnh Hán kinh đô.
是時天下䘮亂道路斷絶而王不廢職貢	Thị thời thiên hạ tang loạn, đạo lộ đoạn tuyệt, nhi vương bất phế chức cống.
漢帝復下詔拜安遠	Hán đế phục hạ chiếu bái An Viễn..
將軍封龍度亭侯	tướng quân, phong Long Độ Đình Hầu.
後蒼梧太守吳巨與恭相失舉兵逐之恭走還零陵	Hậu Thương Ngô Thái thú Ngô Cự dữ Cung tương thất, cử binh trục chi, Cung tẩu hoàn Linh Lăng.
庚寅二十四年漢建安十五年	Canh Dần, nhị thập tứ niên [Hán Kiến An thập ngũ niên].
吳王孫權遣步隲爲交州刺史	Ngô Vương Tôn Quyền khiển Bộ Chất vi Giao Châu thứ sử.
隲到王率兄弟奉承節度	Chất đáo, vương suất huynh đệ phụng thừa tiết độ.
吳王加王左將軍	Ngô vương gia vương Tả tướng quân.
後王遣子𢌃魚錦反入質於吳吳王以爲武昌太守	Hậu vương khiển tử Ngẩm [Ngư cẩm phiên] nhập chất ư Ngô, Ngô Vương dĩ vi Vũ Xương Thái thú.
王諸子在南者皆拜中郎將	Vương chư tử tại Nam giả giai bái Trung lang tướng.
王又誘導益州豪姓雍闓可亥反等率郡民人使遙東附吳	Vương hựu dụ đạo Ích Châu hào tính Ung Khải [Khả hợi phiên] đẳng suất quận dân nhân sử dao đông phụ Ngô.
吳王益嘉之遷衛將軍封龍編侯	Ngô Vương ích gia chi, thiên Vệ tướng quân, phong Long Biên hầu.
王每遣使請吳𦤶雜香細葛輙以千數	Vương mỗi khiển sứ thỉnh Ngô trí tạp hương, tế cát triếp dĩ thiên sổ.
明珠大貝琉璃翠羽瑇瑁犀象之珍奇	Minh châu, đại bối, lưu li, thuý vũ, đại mồi, tê, tượng chi chân, kì..
及異果蕉椰龍眼之属無歲不至又貢馬凣數百匹	cập dị quả tiêu, da, long nhãn chi thuộc, vô tuế bất chí hựu cống, mã phàm sổ bách sất.
吳王作書後加寵賜以慰答之	Ngô Vương tác thư hậu gia sủng tứ dĩ uý đáp chi.
黎文休曰士王能有寬厚謙下士得人親愛而致一時之貴盛	Lê Văn Hưu viết: Sĩ Vương năng hữu khoan hậu khiêm hư hạ sĩ, đắc nhân thân ái nhi trí nhất thời chi quý thịnh.
又能明義識時雖才勇不及趙武帝而屈節事大以保全疆土可謂智矣	Hựu năng minh nghĩa, thức thời, tuy tài dũng bất cập Triệu Vũ Đế, nhi khuất tiết sự đại dĩ bảo toàn cương thổ, khả vị trí hĩ.
惜其嗣子弗克負荷先業使越土宇既皆全盛而復分裂悲夫丙午四十年漢後主禪建興四年吳孫權黄武五年	Tích kì tự tử phất khắc phụ hà tiên nghiệp, sử Việt thổ vũ ký giai toàn thịnh nhi phục phân liệt, bi phu! Bính Ngọ, tứ thập niên [Hán Hậu Chúa Thiền Kiến Hưng tứ niên, Ngô Tôn Quyền Hoàng Vũ ngũ niên].
王薨	Vương hoăng.
初王嘗病死三日僊人董奉與藥一丸以水含服捧其頭摇	Sơ vương thường bệnh, tử tam nhật, tiên nhân Đổng Phụng dữ dược nhất hoàn dĩ thuỷ hàm, phục bổng kì đầu dao..
捎之少頃即開目動手顔色漸平復明日旋能起坐四日復能誤遂復常	sao chi, thiểu khoảnh tức khai mục động thủ, nhan sắc tiềm bình phục, minh nhật toàn năng khởi toạ, tứ nhật phục năng ngộ, toại phục thường.
奉字昌異侯官人見列仙傳候官縣名在福州	[Phụng tự Xương Dị Hầu Quan nhân, kiến Liệt tiên truyện. Hầu Quan huyện danh tại Phúc Châu].
史臣吳士連曰我國通詩書習禮樂爲文献之自士王始其功德𡸈特施於當時而有以遠及於後代𡸈不盛矣哉子之不肖乃子之罪爾	Sử thần Ngô Sĩ Liên viết: Ngã quốc thông thi thư, tập lễ nhạc, vi văn hiến chi bang, tự Sĩ Vương thuỷ, kì công đức khởi đặc thí ư đương thời nhi hữu dĩ viễn cập ư hậu đại, khởi bất thịnh hĩ tai? Tử chi bất tiếu nãi tử chi tội nhĩ.
世傳王既塟之後至晋末凣百六十餘年林邑人入寇掘發王塚見其體靣如生大惧乃復封瘗土人以爲神立廟事之號士王僊	Thế truyền vương ký táng chi hậu, chí Tấn mạt phàm bách lục thập dư niên, Lâm Ấp nhân nhập khấu, quật phát vương trủng, kiến kì thể diện như sinh, đại cụ nãi phục phong ế thổ, nhân dĩ vi thần, lập miếu sự chi, hiệu "Sĩ Vương Tiên".
盖其英氣不朽所以能爲神也	Cái kì anh khí bất hủ, sở dĩ năng vi thần dã.
神祠在舊城龍編	[Thần từ tại cựu Thành Long Biên].
右士王起丁卯終丙午凡四十年	Hữu Sĩ Vương, khởi Đinh Mão chung Bính Ngọ, phàm tứ thập niên.
大越史記外紀全書卷之三終	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư quyển chi tam chung.
