han	phien_am
易曰天地絪緼萬物化醇男女媾精萬物化生	Dịch viết: "Thiên địa nhân uẩn, vạn vật hoá thuần, nam nữ cấu tinh, vạn vật hoá sinh".
故有夫婦然後有父子有父子然後有君臣	Cố hữu phu phụ nhiên hậu hữu phụ tử, hữu phụ tử nhiên hậu hữu quân thần.
然而聖賢之生必異乎常乃天所命	Nhiên nhi thánh hiền chi sinh, tất dị hồ, thường nãi thiên sở mệnh.
吞玄鳥卵而生商履巨人跡而興周皆紀其實然也	Thốn huyền điểu noãn nhi sinh Thương, lí cự nhân tích nhi hưng Chu, giai kỷ kì thực nhiên dã.
神農氏之後帝明得鶩僊女而生涇陽王是爲百粤始祖	Thần Nông thị chi hậu Đế Minh đắc Vụ Tiên nữ nhi sinh Kinh Dương Vương, thị vi Bách Việt thuỷ tổ.
王娶神龍女生貉龍君君娶帝來女而生育有百男之祥	Vương thú Thần Long nữ sinh Lạc Long Quân, Quân thú Đế Lai nữ nhi sinh dục hữu bách nam chi tường.
此其所以能肇我越之基也歟考之通鑑外紀帝來帝宜之子㨿此所載涇陽王帝宜之弟乃相爲婚姻蓋世尙鴻荒禮樂未著而然者歟䧺王	Thử kì sở dĩ năng triệu ngã Việt chi cơ dã dư? Khảo chi Thông Giám Ngoại Kỉ: Đế Lai, Đế Nghi chi tử; cứ thử sở tải Kinh Dương Vương Đế Nghi chi đệ, nãi tương vi hôn nhân, cái thế thượng hồng hoang, lễ nhạc vị trứ nhi nhiên giả dư? Hùng Vương.
貉龍君之子也缺諱都峯州今白鶴縣是也	Lạc Long Quân chi tử dã [khuyết huý], đô Phong Châu [Kim Bạch Hạc huyện thị dã].
雄王之立也建國號文郎國其國東夾南海西抵巴蜀北至洞庭湖南接胡孫國即占城國今廣南是也分國爲十五部曰交趾曰朱鳶曰武寧曰福祿曰越裳曰寧海曰陽泉曰陸海曰武定曰懷驩曰九真曰平文曰新興曰九德以臣属焉其曰文郎王所都也	Hùng Vương chi lập dã, kiến quốc hiệu Văn Lang quốc [kì quốc đông giáp Nam Hải, tây để Ba Thục, bắc chí Động Đình hồ, nam tiếp Hồ Tôn quốc, tức Chiêm Thành quốc, kim Quảng Nam thị dã], phân quốc vi thập ngũ bộ viết Giao Chỉ, viết Chu Diên, viết Vũ Ninh, viết Phúc Lộc, viết Việt Thường, viết Ninh Hải, viết Dương Tuyền, viết Lục Hải, viết Vũ Định, viết Hoài Hoan, viết Cửu Chân, viết Bình Văn, viết Tân Hưng, viết Cửu Đức, dĩ thần thuộc yên; kì viết Văn Lang vương sở đô dã.
置相曰貉候將曰貉將貉將後訛爲雄將王子曰官郎王女曰媚娘	Trí tướng viết Lạc Hầu, tướng viết Lạc Tướng [Lạc tướng hậu ngoa vi Hùng Tướng] Vương tử viết Quan Lang, vương nữ viết Mị Nương.
有司曰蒲政世世以父傳子曰父道	Hữu ti viết Bồ Chính, thế thế dĩ phụ truyền tử, viết phụ đạo.
世主皆號雄王	Thế chủ giai hiệu Hùng Vương.
時山麓之民見江河濮水皆聚魚鰕率相魚食爲蛟蛇所傷	Thời sơn lộc chi dân kiến giang hà bộc thuỷ giai tụ ngư hà suất tương ngư thực, vi giao xà sở thương,..
白於王	bạch ư vương.
王曰山蠻之種與水族實殊彼好同惡異故有此病	Vương viết: "Sơn man chi chủng dữ thuỷ tộc thực thù; bỉ hiếu đồng ố dị, cố hữu thử bệnh".
乃命人以墨跡畵水恠於身	Nãi mệnh nhân dĩ mặc tích hoạ thuỷ quái ư thân.
自是蛟龍見之無咬傷之害	Tự thị giao long kiến chi vô giảo thương chi hại.
百粤文身之俗盖始此	Bách Việt văn thân chi tục cái thuỷ thử.
雄王六世武寧部扶董鄕有富家翁生一南三歲餘飲食肥大不能言笑	Hùng Vương lục thế, Vũ Ninh bộ, Phù Đổng hương, hữu phú gia ông, sinh nhất nam, tam tuế dư, ẩm thực phì đại bất năng ngôn tiếu.
適國内有警王命人求能却敵者	Thích quốc nội hữu cảnh, vương mệnh nhân cầu năng khước địch giả.
其日小兒忽能言告其母邀天使來曰願得一劍一馬君無憂也	Kì nhật, tiểu nhi hốt năng ngôn, cáo kì mẫu yêu thiên sứ lai viết: "Nguyện đắc nhất kiếm, nhất mã, quân vô ưu dã".
王賜之劍馬小兒即躍馬揮劍而前官軍從後破賊于武寧山	Vương tứ chi kiếm mã, tiểu nhi tức dược mã huy kiếm nhi tiền, quan quân tòng hậu, phá tặc vu Vũ Ninh sơn.
脚賊自倒戈相攻死者甚餘黨羅拜呼天將即皆來降	Cước tặc tự đảo qua tương công, tử giả thậm chúng, dư đảng la bái, hô thiên tướng, tức giai lai hàng.
小而躍馬	Tiểu nhi dược mã..
騰空而去	đằng không nhi khứ.
王命開所居園宅立廟時祀焉	Vương mệnh khai sở cư viên trạch lập miếu, thời tự yên.
後李太祖封爲冲天神王其神祠在扶董鄕建初寺測	Hậu, Lí Thái Tổ phong vi Xung Thiên Thần Vương [Kì thần từ tại Phù Đổng hương Kiến Sơ tự trắc].
周成王時我越始聘于周未詳第幾世稱越裳氏献白雉	Chu Thành Vương thời, ngã Việt thuỷ sính vu Chu [Vị tường đệ cơ thế xưng Việt Thường thị, hiến bạch trĩ.
周公曰政令不施君子不臣其人命作指南車送還本國	Chu Công viết: Chính lệnh bất thi, quân tử bất thần kì nhân", mệnh tác chỉ nam xa tống hoàn bản quốc.
時屬季世王有女曰媚娘美而艷	Thời thuộc quý thế Vương hữu nữ viết Mị Nương, mĩ nhi diễm.
蜀王聞之誥王求爲婚	Thục Vương văn chi, cáo vương cầu vi hôn.
王欲從之雄侯止之曰彼欲圖我以婚姻爲由耳	Vương dục tòng chi, Hùng hầu chỉ chi viết: "Bỉ dục đồ ngã, dĩ hôn nhân vi do nhĩ".
蜀王以是㗸怨	Thục Vương dĩ thị hàm oán.
王欲求可配者謂群臣曰此女是僊種才德兼備者方可爲姻	Vương dục cầu khả phối giả, vị quần thần viết: "Thử nữ thị tiên chủng, tài đức kiêm bị giả phương khả vi nhân".
時見二姻自外來拜見庭下求爲婚姻	Thời kiến nhị nhân tự ngoại lai, bái kiến đình hạ, cầu vi hôn nhân.
王異而問之對曰一爲	Vương dị nhi vấn chi, đối viết nhất vi..
山精一爲水精皆在境内聞明王有聖女敢來請命	Sơn Tinh, nhất vi Thuỷ Tinh, giai tại cảnh nội, văn minh vương hữu thánh nữ, cảm lai thỉnh mệnh.
王曰我有一女𡸈得两賢乎	Vương viết: "Ngã hữu nhất nữ, khởi đắc lưỡng hiền hồ?".
乃納來日能具聘禮先來即與	Nãi nạp lai nhật, năng cụ sính lễ tiên lai tức dữ.
兩賢應諾拜謝而歸	Lưỡng hiền ứng nặc, bái tạ nhi quy.
明日山精將珍寶金銀山禽野獸等物來献	Minh nhật, Sơn Tinh tương trân bảo kim ngân, sơn cầm dã thú đẳng vật lai hiến.
王如約嫁之	Vương như ước giá chi.
山精迎回傘圓高峯居之	Sơn Tinh nghênh hồi Tản Viên cao phong cư chi.
水精亦將聘財後至恨悔不及遂興雲作雨激水漲溢率水族追之	Thuỷ Tinh diệc tương sính tài hậu chí, hận hối bất cập, toại hưng vân tác vũ, kích thuỷ trướng dật, suất thuỷ tộc truy chi.
王與山精張鐵鋼横截慈廉上流以扞之	Vương dữ Sơn Tinh trương thiết cương hoành tiệt Từ Liêm thượng lưu dĩ hãn chi.
水精從别江自莅仁入廣威山脚緣岸上喝江口出大江入陀江擊傘圓處處𮢶爲淵爲潭積水圖襲之	Thuỷ Tinh tòng biệt giang, tự Lị Nhân nhập Quảng Oai sơn cước duyên ngạn thượng Hát giang khẩu, xuất đại giang nhập Đà giang kích Tản Viên, xứ xứ tạc vi uyên vi đầm, tích thuỷ đồ tập chi.
山精神化呼得	Sơn Tinh thần hoá, hô đắc..
蠻人編竹爲籬禦水以弩射之鱗介諸種中箭避走	man nhân biên trúc vi li ngự thuỷ, dĩ nỗ xạ chi, lân giới chư chủng trúng tiễn tị tẩu.
終莫能犯也俗傳山精水精是後世讐每年大水常相攻云	Chung mạc năng phạm dã [Tục truyền Sơn Tinh Thuỷ Tinh thị hậu thế thù, mỗi niên đại thuỷ thường tương công vân].
傘圓乃我越巔山其靈應㝡爲顯驗	Tản Viên nãi ngã Việt điên sơn, kì linh ứng tối vi hiển nghiệm.
媚娘既嫁山精蜀王憤怒嘱其子孫必滅文郎而併其國	Mị Nương ký giá Sơn Tinh, Thục vương phẫn nộ, chúc kì tử tôn tất diệt Văn Lang nhi tinh kì quốc.
至孫蜀泮有勇畧乃攻取之	Chí tôn Thục Phán hữu dũng lược, nãi công thủ chi.
史臣吳士連曰雄王之世建侯立屏分國爲十五部	Sử thần Ngô Sĩ Liên viết: Hùng Vương chi thế kiến hầu lập bình, phân quốc vi thập ngũ bộ.
十五部之外各有長佐	Thập ngũ bộ chi ngoại các hữu trưởng tá.
而庶子以其次分治焉	Nhi thứ tử dĩ kì thứ phân trị yên.
其五十子從母歸山安知不如是耶蓋母爲君長諸子各主一方也	Kì ngũ thập tử tòng mẫu quy sơn, an tri bất như thị gia? Cái mẫu vi quân trưởng, chư tử các chủ nhất phương dã.
以今蠻酋有男父道	Dĩ kim man tù hữu nam phụ đạo,..
