han	phien_am
桃郎王卒于野能國無嗣眾推李佛子爲嗣統其眾	[Đào Lang Vương tốt vu Dã Năng quốc, vô tự, chúng suy Lí Phật Tử vi tự, thống kì chúng.
丁丑十年梁太平二年陳武帝先永定元年	Đinh Sửu thập niên, [Lương Thái Bình nhị niên, Trần Vũ Đế Tiên, Vĩnh Định nguyên niên].
李佛子率眾東下與王戰于太平縣凣五接陣未决勝負而佛子兵少却意王有異術乃和請盟	Lí Phật Tử suất chúng Đông hạ, dữ vương chiến vu Thái Bình huyện, phàm ngũ tiếp trận, vị quyết thắng phụ, nhi Phật Tử binh thiểu khước, ý Vương hữu dị thuật, nãi giảng hoà thỉnh minh.
王以佛子前南帝族不忍絶遂割界于君臣州今慈廉縣上下葛二社是也居國之	Vương dĩ Phật Tử tiền Nam Đế tộc, bất nhẫn tuyệt, toại cát giới vu Quân Thần châu [Kim Từ Liêm huyện Thượng Hạ Cát nhị xã thị dã] cư quốc chi..
西遷嗚鳶城今慈廉縣下姥社是也其社今有八郎神祠盖雅郎之祠也	Tây, thiên Ô Diên thành [Kim Từ Liêm huyện, Hạ Mỗ xã thị dã, kì xã kim hữu Bát Lang thần từ, cái Nhã Lang chi từ dã].
後佛子有子雅郎求婚王女杲娘	Hậu Phật Tử hữu tử Nhã Lang cầu hôn Vương nữ Cảo Nương.
許之遂成姻好	Hứa chi, toại thành nhân hảo.
王鍾愛杲娘居雅郎爲贅壻焉夫居妻家日贅壻	Vương chung ái Cảo Nương, cư Nhã Lang vi chuế tế yên phu cư thê gia. nhật chuế tế].
庚寅二十三年陳宣帝頊大建二年	Canh Dần, nhị thập tam niên, [Trần Tuyên Đế Húc, Đại Kiến nhị niên].
雅郎謂其妻曰昔吾两父王爲讐今爲婚姻不亦善乎然此父何術能却彼父兵	Nhã Lang vị kì thê viết: "Tích Ngô lưỡng phụ vương vi thù, kim vi hôn nhân bất diệc thiện hồ? Nhiên thử phụ hà thuật năng khước bỉ phụ binh?".
杲娘不覺其意密取龍爪兜鍪示之	Cảo Nương bất giác kì ý mật, thủ long trảo đâu mâu thị chi.
雅郎潜謀易其爪私謂杲娘曰吾聞父母深恩重如天地吾夫婦雅相愛重不忍契闊吾且割愛歸家	Nhã Lang tiềm mưu dịch kì trảo, tư vị Cảo Nương viết: "Ngô văn phụ mẫu thâm ân, trọng như thiên địa, ngô phu phụ nhã tương ái trọng, bất nhẫn khế khoát, ngô thả cát ái quy gia".
雅郎歸與其父謀襲王取其國	Nhã Lang quy, dữ kì phụ mưu tập vương, thủ kì quốc.
