han	phien_am
使者至帝踞見賈	Sứ giả chí, đế cứ kiến Giả.
賈曰王本	Giả viết: "Vương bản..
漢人親戚墳墓皆在于漢今反本俗欲㨿於此典漢抗衡爲敵𡸈不謬哉且夫秦失其鹿天下共逐之惟漢帝寬仁愛人民皆樂從起豊沛先八關㨿咸陽攘除兇𨢄	Hán nhân, thân thích phần mộ giai tại vu Hán, kim phản bản tục, dục cứ ư thử điển Hán kháng hoành vi địch, khởi bất mậu tai? Thả phù, Tần thất kì lộc, thiên hạ cộng trục chi, duy Hán đế khoan nhân ái nhân, dân giai lạc tòng, khởi Phong Bái tiên bát Quan cứ Hàm Dương, nhương trừ hung xú.
五年之間乱反正平定四海此非人力殆天𭁈也	Ngũ niên chi gian, bát loạn phản chính, bình định tứ hải, thử phi nhân lực, đãi thiên dữ dã.
漢帝聞王王此常欲一决勝負以百姓新勞苦故罷之遣使奉其印綬遣王王宜郊迎拜謁示其敬也	Hán đế văn Vương vương thử, thường dục nhất quyết thắng phụ, dĩ bách tính tân lao khổ cố bãi chi, khiến sứ phụng kì ấn thụ khiến vương, Vương nghi giao nghênh bái yết thị kì kính dã.
今既不然僃禮具之可也奈何自特百粤之慢易天子使者天子聞之𭛁兵問罪則王将如之何帝蹶然興起曰居此日久殊	Kim dĩ bất nhiên, bị lễ cụ chi khả dã, nại hà tự đặc Bách Việt chi chúng mạn dị thiên tử sứ giả? Thiên tử văn chi phát binh vấn tội, tắc vương tương như chi hà?" Đế quệ nhiên, hưng khởi viết: "Cư thử nhật cửu thù..
失禮義	thất lễ nghĩa".
因問賈曰我𭁈蕭何曹參賢	Nhân vấn Giả viết: "Ngã dữ Tiêu Hà, Tào Tham thục hiền".
曰王自賢	Viết: "Vương tự hiền".
又問我𭁈漢帝賢賈曰漢帝繼五帝三王之業綂理乎漢人以億萬計地方萬里物殷民富政由一家開闢以來未之有也	Hựu vấn: "Ngã dữ Hán đế thục hiền?" Giả viết" "Hán Đế kế Ngũ Đế Tam Vương chi nghiệp, thống lí hồ Hán nhân dĩ ức vạn kê, địa phương vạn lí, vật ân dân phú, chính do nhất gia, khai tịch dĩ lai, vị chi hữu dã.
今王不過十萬雜處山海間譬如漢一郡也何乃比於漢帝	Kim vương chúng bất quá thập vạn, tạp xứ sơn hải gian, ví như Hán nhất quận dã, hà nãi tỉ ư Hán đế".
突曰吾恨不起於彼何遠不若漢賈默然色洱	Đột viết: "Ngô hận bất khởi ư bỉ hà viễn, bất nhược Hán?" Giả mặc nhiên sắc nhĩ.
乃留賈居数月	Nãi lưu Giả cư sổ nguyệt.
曰越中無足𭁈語	Viết: "Việt trung vô túc dữ ngữ.
至生來令我曰聞所不聞	Chí sinh lai lệnh ngã viết văn sở bất văn".
賜賈槖中装直千金	Tứ Giả thác trung trang trực thiên kim.
及賈㱕復賜千金橐中装謂以珠寳装裏八囊橐	Cập Giả quy phục, tứ thiên kim [thác trung trang vị dĩ châu bảo trang lí bát nang thác.
中	trung].
丙午十三年漢髙帝十二年	Bính Ngọ, thập tam niên, [Hán Cao Đế thập nhị niên].
夏四月漢帝崩	Hạ, tứ nguyệt, Hán Đế băng.
庚戌十七年漢惠帝盈四年	Canh Tuất, thập thất niên, [Hán Huệ Đế, doanh tứ niên].
夏漢立原廟于渭北癸丑二十年漢惠帝七年	Hạ, Hán lập Nguyên Miếu vu Vị bắc Quý Sửu, nhị thập niên, [Hán Huệ Đế thất niên].
春正月朔日食夏五月日食既	Xuân, chính nguyệt, sóc, nhật thực Hạ, ngũ nguyệt, nhật thực kí.
秋八月漢帝崩	Thu, bát nguyệt, Hán đế băng.
乙卯二十年漢髙后吕雉二年	Ất Mão, nhị thập niên [Hán Cao Hậu Lữ Trĩ nhị niên].
复六月晦日食	Hạ, lục nguyệt, hối, nhật thực.
丁巳二十四年漢髙后漢禁南越關市鉄噐	Đinh Tị, nhị thập tứ niên [Hán Cao Hậu Hán cấm Nam Việt quan thị thiếc khí.
帝曰髙帝立我通使共噐物	Đế viết: "Cao Đế lập, ngã thông sứ, cộng khí vật.
四年	tứ niên].
今髙后聽讒臣别異漢越噐物	Kim Cao Hậu thính sàm thần, biệt dị Hán Việt khí vật.
此必長沙王計欲倚漢威德圖我國而併王之自爲功也	Thử tất Trường Sa Vương kế, dục ỷ Hán uy đức đồ ngã quốc nhi tịnh vương chi, tự vi công dã".
戊午二十五年漢髙后五年	Mậu Ngọ, nhị thập ngũ niên, [Hán Cao Hậu ngũ niên].
春帝即皇帝位𭛁兵功長沙敗數郡而還	Xuân, đế tức Hoàng đế vị, phát binh công Trường Sa, bại số quận nhi hoàn.
庚申二十七年漢髙后七年	Canh Thân, nhị thập thất niên, [Hán Cao Hậu thất niên].
漢使隆慮音林閭侯周竃擊南越以報長沙之役	Hán sử Long Lự [âm Lâm Lư], hầu Chu Táo kích Nam Việt dĩ báo Trường Sa chi dịch.
會暑濕大𤶣遂兵	Hội thử thấp đại dịch, toại bãi binh.
帝因此以兵威敗物招撫閩越西甌貉即交跐九真皆從属焉東西萬餘里	Đế nhân thử dĩ binh uy bại vật chiêu vỗ Mân Việt, Tây Âu Lạc [tức Giao Chỉ Cửu Chân], giai tòng thuộc yên, đông tây vạn dư lí.
御黃屋左纛稱制𭁈漢並	Ngự hoàng ốc, tả đạo, xưng chế dữ Hán tịnh.
辛酉二十八年漢髙后八年	Tân Dậu, nhị thập bát niên, [Hán Cao Hậu bát niên].
秋七月髙后崩諸大臣迎立代王恒是爲文帝	Thu, thất nguyệt, Cao Hậu băng, chư đại thần nghênh lập đại vương Hằng, thị vi Văn Đế.
壬戌二十九年漢文帝恒元年	Nhâm Tuất, nhị thập cửu niên, [Hán Văn Đế Hằng nguyên niên].
漢帝爲帝親塚在真定者	Hán đế vi đế thân trủng tại Chân Định giả..
置守邑歳時奉祀召其昆弟爲尊官厚賜	trí thủ ấp, tuế thời phụng tự, triệu kì côn đệ vi tôn quan hậu tứ.
之問宰相陳平可使越者	Chi vấn Tể tướng Trần Bình, cử khả sứ Việt giả.
平言陸賈先帝時曾使越	Bình ngôn: "Lục Giả Tiên đế thời tằng sứ Việt".
漢帝召賈爲太中大夫謁者一人爲副使往遣帝書	Hán đế triệu Giả vi Thái trung đại phu, yết giả nhất nhân vi phó sứ, vãng khiến đế thư.
曰謹問南越王甚苦心勞意	Viết: "Cẩn vấn Nam Việt vương thậm khổ tâm lao ý.
朕髙帝側室之子也棄外奉藩于代道理遼遠壅撲愚未嘗𦤶書	Trẫm Cao Đế trắc thất chi tử dã, khí ngoại phụng phiên vu Đại đạo lí liêu viễn, ung tế phốc ngu, vị thường trí thư.
髙皇帝棄群臣孝惠皇帝即世髙后自臨事不幸有疾諸吕擅權爲變不䏻獨制乃取他姓子爲孝惠皇帝	Cao Hoàng đế khí quần thần, Hiếu Huệ hoàng đế tức thế Cao Hậu tự lâm sự, bất hạnh hữu tật, chư Lữ thiện quyền vi biến, bất năng độc chế, nãi thú tha tính tử vi Hiếu Huệ Hoàng Đế.
嗣頼宗廟之靈功臣之力誅之已畢	Tự lại tông miếu chi linh, công thần chi lực, tru chi dĩ tất.
朕以王吏不釋之故不得不立今即位	Trẫm dĩ vương hầu lại bất thích chi cố, bất đắc bất lập, kim tức vị.
乃者聞王遣将	Nãi giả văn Vương khiển tướng..
軍隆慮侯書求親昆弟請長沙二将軍	quân Long Lự hầu, thư cầu thân côn đệ, thỉnh bãi Trường Sa nhị tướng quân.
朕以王書将軍博陽侯其親昆弟在真定者已遣人存問脩治先人塚	Trẫm dĩ Vương thư bãi tướng quân Bác Dương Hầu, kì thân côn đệ tại Chân Định giả, dĩ khiển nhân tồn vấn tu trị tiên nhân trủng.
前日聞王𭛁兵於邊爲寇災不止長沙苦之南郡㔫甚雖王之國庸獨利乎必多殺士卒傷良將吏寡人之妻孤人之子獨人父母得一亡十朕不忍爲之埜	Tiền nhật văn Vương phát binh ư biên, vi khấu tai bất chỉ, Trường Sa khổ chi Nam quận ưu thậm, tuy Vương chi quốc dung độc lợi hồ? Tất đa sát sĩ tốt, thương lương tướng lại, quả nhân chi thê, cô nhân chi tử, độc nhân phụ mẫu, đắc nhất vong thập, trẫm bất nhẫn vi chi dã.
朕欲定地犬牙之相制者以問又吏曰髙皇帝所以界長沙者王之地也不得𢫔變焉今也得王之地不足以爲大得王之財不足以爲富服嶺以南王自治之	Trẫm dục định địa khuyển nha chi tương chế giả, dĩ vấn lại, lại viết: "Cao Hoàng Đế sở dĩ giới Trường Sa giả, Vương chi địa dã, bất đắc thiện biến yên" Kim dã đắc Vương chi địa, bất túc dĩ vi đại, đắc vương chi tài, bất túc dĩ vi phú, phục Lĩnh dĩ Nam, Vương tự trị chi.
雖然王之號爲	Tuy nhiên, Vương chi hiệu vi..
帝两帝並立亡一乘之使以通其道之爭也	đế, lưỡng đế tịnh lập vong nhất thừa chi sứ dĩ thông, kì đạo chi tranh dã.
乎而不讓仁者不爲也	Hồ nhi bất nhượng, nhân giả bất vi dã.
願𭁈王分棄前惡終今以来通使如故	Nguyện dữ Vương phân khí tiền ác chung, kim dĩ lai thông sứ như cố.
故使陸賈往馳諭吿王以朕本意	Cố sử Lục Giả vãng trì dụ, cáo Vương dĩ trẫm bổn ý.
王亦受之毋爲寇災矣	Vương diệc thụ chi, vô vi khấu tai hĩ.
因以上褚五十衣中褚三十衣下褚二十衣遣王	Nhân dĩ thượng chử ngũ thập y, trung chử tam thập y, hạ chử nhị thập y khiển Vương.
願王聽樂消憂存問鄰國	Nguyện Vương thính lạc tiêu ưu tồn vấn lân quốc".
賈至帝謝曰謹奉詔爲藩王長供職貢	Giả chí, đế tạ viết: "Cẩn phụng chiếu vi phiên Vương, trường cung chức cống".
於是下詔曰朕聞两䧺不俱立两賢不並世漢皇帝賢天子自今去帝制黃屋左纛	Ư thị hạ chiếu viết: "Trẫm văn: Lưỡng hùng bất cụ lập, lưỡng hiền bất tịnh thế, Hán Hoàng Đế hiền thiên tử, tự kim khứ đế chế hoàng ốc tả đam".
因爲書稱蠻夷大長老夫臣佗昧子再拜上書皇帝陛下老夫故越吏也髙帝賜璽	Nhân vi thư xưng: "Man Di đại trưởng lão phu, thần Đà muội tử, tái bái thượng thư hoàng đế bệ hạ, lão phu cố Việt lại dã, Cao Đế tứ tỉ..
綬以爲南越王	thụ dĩ vi Nam Việt Vương.
孝惠皇帝即位義不忍絶所賜老夫者甚厚	Hiếu Huệ Hoàng Đế tức vị, nghĩa bất nhẫn tuyệt, sở tứ lão phu giả thậm hậu.
髙后用事别異華夷由命曰毋予南越金鉄田噐馬牛羊即子予牡无予牝	Cao Hậu dụng sự biệt dị Hoa Di, do mệnh viết vô dữ Nam Việt kim thiết điền khí, mã, ngưu, dương, tức tử dư mẫu vô dư tẫn.
老夫處僻馬牛羊齒已長	Lão phu xứ tịch, mã ngưu dương xỉ dĩ trưởng.
自已祭祀不脩有死罪遣内史潘中尉髙御史平凣三董上書謝過皆不反	Tự dĩ tế tự bất tu hữu tử tội, khiển nội sử Phan, Trung uý Cao, ngự sử Bình, phàm tam đổng thượng thư tạ quá, giai bất phản.
又風聞老夫父母墳暮已壞削兄弟宗𤟪已誅泯故吏相議曰今内不得振於漢外無以自髙異於吳	Hựu phong văn, lão phu phụ mẫu phần mộ dĩ hoại tước, huynh đệ tông đột dĩ tru, dẫn cố lại tương nghị viết: "Kim nội bất đắc chấn ư Hán, ngoại vô dĩ tự cao dị ư Ngô".
故更號爲帝自帝其國非敢有害於天下	Cố cánh hiệu vi đế, tự đế kì quốc, phi cảm hữu hại ư thiên hạ.
髙皇后聞之大怒削去南越之籍使使不通	Cao Hoàng Hậu văn chi đại nộ, tước khứ Nam Việt chi tịch, sử sứ bất thông.
老夫竊疑長沙王讒	Lão phu thiết nghi Trường Sa Vương sàm..
譖故𭛁兵以伐其邊	tiếm, cố phát binh dĩ phạt kì biên.
老夫處越四十九年于今抱孫焉然夙興夜寐寝不安席食不甘味目不視靡蔓之色耳不聽鍾皷之音者以不得事漢也	Lão phu xứ Việt tứ thập cửu niên, vu kim bão tôn, yên nhiên túc hưng dạ mị, tẩm bất an tịch, thực bất cam vị, mục bất thị mĩ mạn chi sắc, nhĩ bất thính chung cổ chi âm giả, dĩ bất đắc sự Hán dã.
今陛下幸哀憐復故號通使如故老夫死骨不抒	Kim Bệ hạ hạnh ai, lân phục cố hiệu, thông sứ như cố, lão phu tử cốt bất trữ.
改號不敢爲帝矣	Cải hiệu bất cảm vi đế hĩ.
謹因使使者献白壁之雙翠羽千尾犀角十座紫貝五百桂壼一噐生翠四十雙孔雀二雙	Cẩn nhân sử sứ giả hiến bạch bích chi song, thuý vũ thiên vĩ, tê giác thập toạ, tử bối ngũ bách, quế hồ nhất khí, sinh thuý tứ thập song, khổng tước nhị song.
昧死再拜以聞皇帝陛下	Muội tử tái bái dĩ văn Hoàng đế bệ hạ".
陸賈得書還報漢帝大悅	Lục Giả đắc thư hoàn báo, Hán đế đại duyệt.
自是南北交好弭兵民得休息矣	Tự thị Nam Bắc giao hảo nhĩ binh, dân đắc hưu tức hĩ.
癸亥三十年漢文帝二年	Quý Hợi, tam thập niên, [Hán Văn Đế nhị niên].
冬十月晦日食	Đông, thập nguyệt, hối, nhật thực.
甲子三十一年漢文帝三年	Giáp Tí, tam thập nhất niên, [Hán Văn Đế tam niên].
冬十月晦日食十一月晦日飠	Đông, thập nguyệt hối, nhật thực Thập nhất nguyệt, hối, nhật thực.
辛巳四十八年漢文帝復元四年	Tân Tị, tứ thập bát niên, [Hán Văn Đế phục Nguyên tứ niên].
复四月晦日食	Hạ, tứ nguyệt, hối, nhật thực.
甲申五十一年漢文帝七年	Giáp Thân, ngũ thập nhất niên, [Hán Văn Đế thất niên].
复六月漢帝崩詔短䘮	Hạ, lục nguyệt Hán đế băng, chiếu đoản tang.
秋九月有星孛于西方	Thu, cửu nguyệt, hữu tinh bột vu tây phương.
乙酉五十二年漢景帝故元年	Ất Dậu, ngũ thập nhị niên, [Hán Cảnh Đế cố nguyên niên].
漢詔令郡國立太宗𦺓	Hán chiếu lệnh quận quốc lập Thái Tông miếu.
丙戌五十三年漢景帝二年	Bính Tuất, ngũ thập tam niên, [Hán Cảnh Đế nhị niên].
冬十一月有星孛于西方	Đông, thập nhất nguyệt, hữu tinh bột vu Tây phương.
丁亥五十四年漢景帝三年	Đinh Hợi, ngũ thập tứ niên, [Hán Cảnh Đế tam niên].
春正月長星出西方	Xuân, chính nguyệt, trường tinh xuất Tây phương.
是月晦日食	Thị nguyệt, hối, nhật thực.
戊子五十五年漢景帝四年	Mậu Tí, ngũ thập ngũ niên, [Hán Cảnh Đế tứ niên].
冬十月晦日食	Đông, thập nguyệt, hối, nhật thực.
癸巳六十年漢景帝复中元二年	Quý Tị, lục thập niên, [Hán Cảnh Đế Hạ, Trung Nguyên nhị niên].
四月有星孛于西北	tứ nguyệt, hữu tinh bột vu tây bắc.
秋九月晦日食	Thu, cửu nguyệt, hối, nhật thực.
甲午六十一年漢景帝三年	Giáp Ngọ, lục thập nhất niên, [Hán Cảnh Đế tam niên].
秋九月有星孛于西北	Thu, cửu nguyệt, hữu tinh bột vu Tây Bắc.
是月晦日食	Thị nguyệt, hối, nhật thực.
乙未六十二年漢景帝四年	Ất Mùi, lục thập nhị niên, [Hán Cảnh Đế tứ niên].
冬十月晦日食	Đông, thập nguyệt, hối, nhật thực.
丁酉六十四年漢景帝六年	Đinh Dậu, lục thập tứ niên, [Hán Cảnh Đế lục niên].
秋七月晦日食時帝凣遣使如漢則稱王朝請以比諸侯於國内則從故號	Thu, thất nguyệt, hối, nhật thực Thời Đế phàm khiển sứ như Hán tắc xưng Vương, triều thỉnh dĩ bỉ chư hầu, ư quốc nội tắc tòng cố hiệu.
戊戌六十五年漢景帝復元年	Mậu Tuất, lục thập ngũ niên, [Hán Cảnh Đế phục nguyên niên].
秋七月晦日食	Thu, thất nguyệt, hối, nhật thực.
庚子六十七年漢景帝三年	Canh Tí, lục thập thất niên [Hán Cảnh Đế tam niên].
冬十月日月皆赤	Đông, thập nguyệt, nhật nguyệt giai xích.
十二月日如紫五星逆行守太微月貫天庭中天庭即龍星右角太微宫垣十星在翌軫之地天子之宫五帝之座	Thập nhị nguyệt, nhật như tử, ngũ tinh nghịch hành, thủ Thái Vi, nguyệt quán Thiên Đình trung, [Thiên Đình tức Long Tinh hữu giác Thái Vi cung viên thập tinh, tại Dực Chẩn chi địa; Thiên tử chi cung, Ngũ Đế chi toạ].
春正月漢帝崩	Xuân, chính nguyệt, Hán đế băng.
壬寅六十九年漢武帝徹春正月晦日食	Nhâm Dần, lục thập cửu niên, [Hán Vũ Đế Triệt, Xuân, chính nguyệt, hối, nhật thực.
廈四月有星如日夜出建癸卯七十年漢建元秋三年	Hạ, tứ nguyệt, hữu tinh như nhật dạ xuất. Kiến Quý Mão, thất thập niên [Hán Kiến Nguyên Thu, tam niên].
七月有星孛于西北	thất nguyệt, hữu tinh bột vu Tây Bắc.
九月晦日食	Cửu nguyệt, hối, nhật thực.
甲辰七十一年漢建元四年	Giáp Thìn, thất thập nhất niên [Hán Kiến Nguyên tứ niên].
帝崩謚曰武帝	Đế băng, thuỵ viết Vũ Đế.
孫胡立	Tôn Hồ lập.
後陳	[Hậu Trần..
朝封帝爲開天体道聖武神哲皇帝	triều phong Đế vi Khai Thiên Thể Đạo Thánh Vũ Thần Triết Hoàng Đế].
黎文休曰遼東微箕子不䏻成衣冠之俗吳會非泰伯不䏻躋王覇之強	Lê Văn Hưu viết: Liêu Đông vi Cơ Tử bất năng thành y quan chi tục, Ngô Cối phi Thái Bá bất năng tê vương bá chi cường.
大舜東夷人也爲五帝之英主	Đại Thuấn Đông Di nhân dã, vi Ngũ Đế chi anh chủ.
文王西夷人也爲三代之賢君	Văn Vương Tây Di nhân dã, vi Tam Đại chi hiền quân.
則知善爲國者不限地之廣狹人之華夷惟德是視也	Tắc tri thiện vi quốc giả, bất hạn địa chi quảng hiệp, nhân chi Hoa Di, duy đức thị thị dã.
趙武帝䏻開拓我越而自帝其國𭁈漢抗衡書稱老夫爲我越倡始帝王之基業其功可謂大矣	Triệu Vũ Đế năng khai thác ngã Việt nhi tự đế, kì quốc dữ Hán kháng hoành, thư xưng "lão phu", vi ngã Việt xướng thuỷ Đế vương chi cơ nghiệp, kì công khả vị đại hĩ.
後之帝越者䏻法趙武固守封圻設立軍國交鄰有道守位以仁則長保境土北人不得	Hậu chi đế Việt giả, năng pháp Triệu Vũ cố thủ phong kì, thiết lập quân quốc, giao lân hữu đạo, thủ vị dĩ nhân, tắc trường bảo cảnh thổ, Bắc nhân bất đắc..
復恣雎也	phục thứ thư dã.
恣雎反目貌	[Thứ hư thiết mục mạo].
史臣吳士連曰傳曰有大德必得其位必得其名必得其壽	Sử thần Ngô Sĩ Liên viết: Truyện viết" "Hữu đại đức tất đắc kì vị, tất đắc kì danh, tất đắc kì thọ".
帝何修而得此哉亦曰德而也矣	Đế hà tu nhi đắc thử tai? Diệc viết đức nhi dã hĩ.
觀其答陸賈語	Quan kì đáp Lục Giả ngữ.
則英武之威𡸈讓漢髙	tắc anh vũ chi uy khởi nhượng Hán Cao.
及聞文帝爲帝親塚置守邑歳時奉祀及厚賜其昆弟則又屈於漢於是宗廟饗之子孫保之非以德耶易曰謙尊而光卑而不可踰	Cập văn Văn Đế vi Đế thân trủng trí thủ ấp, tuế thời phụng tự, cập hậu tứ kì côn đệ, tắc hựu khuất ư Hán, ư thị tông miếu hưởng chi, tử tôn bảo chi, phi dĩ đức da? Dịch viết: "Khiêm tôn nhi quang, ti nhi bất khả du".
帝其以之	Đế kì dĩ chi.
文王	Văn Vương.
在位十二年壽五十二歳	Tại vị thập nhị niên, thọ ngũ thập nhị tuế.
王感鄰以義却敵邊亦願治之君也	[Vương cảm lân dĩ nghĩa, khước địch biên, diệc nguyện trị chi quân dã].
安	an..
諱胡仲始之子武帝之孫也	Huý Hồ, Trọng Thuỷ chi tử, Vũ Đế chi tôn dã.
丙午二年漢建元六年	Bính Ngọ, nhị niên, [Hán Kiến Nguyên lục niên].
秋八月有星孛于東方長竟天	Thu, bát nguyệt, hữu tinh bột vu Đông phương, trường cánh thiên.
閩越王郢侵我邊邑	Mân Việt Vương Sính xâm ngã biên ấp.
王守漢約不擅興兵使人賫書言其事於漢	Vương thủ Hán ước, bất thiện hưng binh, sử nhân tê thư ngôn kì sự ư Hán.
漢多之大爲𭛁兵遣王恢出豫章韓安國出會擊閩越	Hán gia nghĩa chi, đại vi phát binh, khiển Vương Khôi xuất Dự Chương, Hàn An Quốc xuất Cối Kê, kích Mân Việt.
淮南王安上書諫曰越方外之地	Hoài Nam Vương An thượng thư gián viết: "Việt phương ngoại chi địa.
剪髮文身之不可以冠帶之國法度理也	Tiễn phát văn thân chi dân, bất khả dĩ quan đái chi quốc pháp độ lí dã.
自三代之盛胡粤不受正朔非強不䏻服威不能制以為不居之地不牧之民不足以煩中國也	Tự Tam đại chi thịnh, Hồ Việt bất thụ chính sóc, phi cường bất năng phục, uy bất năng chế, dĩ vi bất cư chi địa, bất mục chi dân, bất túc dĩ phiền Trung Quốc dã.
今自相攻擊而陛下𭛁兵救之是及以中國而	Kim tự tương công kích nhi bệ hạ phát binh cứu chi, thị cập dĩ Trung Quốc nhi..
勞夷狄也	lao di địch dã.
且越人輕薄反襨不用法度非一日之積	Thả Việt nhân khinh bạc phản phức, bất dụng pháp độ phi nhất nhật chi tích.
一不奉詔兵誅之臣恐後兵革無時得息也	Nhất bất phụng chiếu cử binh tru chi, thần khủng hậu binh cách vô thời đắc tức dã.
間者歳北不登民生未復今𭛁兵資粮行数千里夾以深林叢竹多蝮蛇猛獸夏月暑時歐泄霍乱之病相隨屬也曾未施兵接刅死傷者必眾矣	Gian giả tuế bắc bất đăng, dân sinh vị phục, kim phát binh tư lương, hành số thiên lí, giáp dĩ thâm lâm tùng trúc, đa phúc xà mãnh thú, hạ nguyệt thử thời, âu tiết hoắc loạn chi bệnh tương tuỳ thuộc dã tăng, vị thi binh tiếp ban tử thương giả tất chúng hĩ.
臣聞軍旅之後必有凶年言以具愁苦之氣薄隂陽之和感天地之精而災氣爲之生也	Thần văn quân lữ chi hậu, tất hữu hung niên, ngôn dĩ cụ sầu khổ chi khí, bạc âm dương chi hoà, cảm thiên địa chi tinh, nhi tai khí vị chi sinh dã.
陛下德配天澤及草木一人有饑寒不終其天年而死者爲之悽愴於心	Bệ hạ đức phối thiên địa, trạch cập thảo mộc, nhất nhân hữu cơ hàn bất chung kì thiên niên nhi tử giả, vị chi thê thương ư tâm.
今方内無狗吠之警而使甲卒暴露	Kim phương nội vô cẩu phệ chi cảnh, nhi sử giáp tốt bạo lộ..
中元霑漬山谷邊境之民早閉晏開朝不及夕臣安窃爲陛下重之	trung nguyên, chiêm tứ sơn cốc, biên cảnh chi dân tảo bế yến khai, triêu bất cập tịch, thần An thiết vi bệ hạ trọng chi.
且越人緜力薄材不能陸戦及無車騎弓弩之用然而不可入者以保地險而中國之人不耐其水土也	Thả Việt nhân miên lực bạc tài, bất năng lục chiến, cập vô xa kị cung nỏ chi dụng, nhiên nhi bất khả nhập giả, dĩ bảo địa hiểm, nhi Trung Quốc chi nhân bất nại kì thuỷ thổ dã.
臣聞道路言閩越王弟甲弑而殺之甲已誅死其民未有所属	Thần văn đạo lộ ngôn: Mân Việt Vương đệ Giáp thích nhi sát chi, Giáp dĩ tru tử, kì dân vị hữu sở thuộc.
陛下若所重臣臨冇施德再賞以招𦤶之此必携幼扶老以㱕聖德	Bệ hạ nhược sử trọng thần lâm mậu thi đức, tái thưởng dĩ chiêu trí chi, thử tất huề ấu phù lão dĩ quy Thánh đức.
若無所用之則存亡繼絶建其王侯此必委質爲臣世共貢職	Nhược vô sở dụng chi, tắc tồn vong kế tuyệt, kiến kì Vương hầu, thử tất uỷ chất vi thần, thế cộng cống chức.
陛下以方寸之印丈二之組填撫方外不勞一卒不頓一㦸而威德並行	Bệ hạ dĩ phương thốn chi ấn, trượng nhị chi tổ, điền vỗ phương ngoại, bất lao nhất tốt, bất đốn nhất kích, nhi uy đức tịnh hành.
今以兵	Kim dĩ binh..
入其地此必震恐迯入山林背而去之則復群聚留而守之歴歳經年則士卒罷勌食粮之絶一方有急四靣皆聳	nhập kì địa, thử tất chấn khủng, đào nhập sơn lâm; bối nhi khứ chi tắc phục quần tụ, lưu nhi thủ chi, lịch tuế kinh niên, tắc sĩ tốt bãi quyên, thực lương chi tuyệt, nhất phương hữu cấp tứ diện giai tủng.
臣恐變故之生奸邪之作由此始也	Thần khủng biến cố chi sinh, gian tà chi tác, do thử thuỷ dã.
臣聞天子之兵有征而戦言莫敢較也	Thần văn Thiên tử chi binh, hữu chinh nhi vô chiến, ngôn mạc cảm giảo dã.
如使越人徼幸以逆執事厮輿之卒有一不僃而㱕雖得越王之首臣猶羞之	Như sử Việt nhân khiếu hạnh dĩ nghịch chấp sự, tê dư chi tốt hữu nhất bất bị nhi quy, tuy đắc Việt Vương chi thủ, thần do tu chi.
