han	phien_am
秦發諸道逋亡人贅壻	Tần phát chư đạo bô vong nhân, chuế tế..
賈人爲兵使校尉屠雎將樓船之士使史祿𮢶渠運糧深入嶺南略取陸糧地置桂林今廣西明貴縣是也南海即今廣東象郡即南安以任囂爲南海尉趙佗爲龍川令竜川南海属縣領謫徒兵五十萬人戍五嶺囂佗因謀侵我	giá nhân vi binh, sử hiệu uý Đồ Thư tương lâu thuyền chi sĩ, sử Sử Lộc tạc cừ vận lương, thâm nhập Lĩnh Nam, lược thủ Lục Lương địa, trí Quế Lâm [Kim Quảng Tây Minh Quý huyện thị dã] Nam Hải [Tức kim Quảng Đông] Tượng Quận [Tức Nam] An dĩ Nhâm Ngao vi Nam Hải uý, Triệu Đà vi Long Xuyên lệnh [Long Xuyên Nam Hải thuộc huyện] lĩnh trích đồ binh ngũ thập vạn nhân thú Ngũ Lĩnh, Ngao Đà nhân mưu xâm ngã.
贅壻男無財聘以身自質於妻家曰贅壻如人身之肬贅是餘剩之物陸梁地嶺南人多處山陸間其性強梁故曰陸梁辛卯四十八年秦始皇三十七年冬十月秦始皇崩于沙丘	[Chuế tế: nam vô tài sính, dĩ thân tự chất ư thê gia, viết chuế tế như nhân thân chi vưu chuế, thị dư thặng chi vật. Lục Lương địa Lĩnh Nam nhân đa xứ sơn lục gian, kì tính cường lương, cố viết Lục Lương] Tân Mão, tứ thập bát niên [Tần Thuỷ Hoàng tam thập thất niên] Đông, thập nguyệt, Tần Thuỷ Hoàng băng vu Sa Khâu.
任囂趙佗帥師來侵	Nhâm Ngao, Triệu Đà suý sư lai xâm.
佗駐軍北江僊遊山與王戰	Đà trú quân Bắc Giang, Tiên Du sơn dữ vương chiến.
王以靈弩射之佗敗走	Vương dĩ linh nỗ xạ chi, Đà bại tẩu.
時囂將舟師在小江即都	Thời Ngao tương chu sư tại Tiểu Giang [Tức Đô..
護府後訛爲東湖今東湖津犯土神染病歸	hộ phủ hậu ngoa vi Đông Hồ kim Đông Hồ tân], phạm thổ thần nhiễm bệnh, quy.
謂佗曰秦亡矣用計攻泮可以立國	Vị Đà viết: "Tần vong hĩ, dụng kế công Phán khả dĩ lập quốc".
佗知王有神弩不可敵退守武寧山通使講和	Đà tri vương hữu thần nỗ, bất khả địch, thoái thủ Vũ Ninh sơn, thông sứ giảng hoà.
王喜乃分平江今東岸天德江是也以北佗治之以南王治之	Vương hỉ, nãi phân Bình Giang [Kim Đông Ngạn, Thiên Đức giang thị dã] dĩ Bắc Đà trị chi, dĩ Nam vương trị chi.
佗遣子仲始入侍宿衛求婚王女媚珠	Đà khiển tử Trọng Thuỷ nhập thị túc vệ, cầu hôn vương nữ Mị Châu.
許之	Hứa chi.
仲始誘媚珠竊觀靈弩潜毀其機易之託以北歸省親謂媚珠曰夫婦恩情不可將亡如兩國失和南北隔别我來到此如何得相見媚珠曰妾有鵝毛錦褥常附於身到處拨毛置岐路以示之	Trọng Thuỷ dụ Mị Châu thiết quan linh nỗ, tiềm huỷ kì cơ, dịch chi, thác dĩ Bắc quy tỉnh thân, vị Mị Châu viết: "Phu phụ ân tình, bất khả tương vong, như lưỡng quốc thất hoà, Nam Bắc cách biệt, ngã lai đáo thử, như hà đắc tương kiến?" Mị Châu viết: "Thiếp hữu nga mao cẩm nhục, thường phụ ư thân, đáo xứ bạt mao trí kì lộ dĩ thị chi".
仲始歸以告佗	Trọng Thuỷ quy dĩ cáo Đà.
癸巳五十年秦二世亥二年	Quý Tị, ngũ thập niên [Tần nhị thế Hợi nhị niên].
胡任囂病且死謂佗曰聞陳勝等作亂民心爲之所附	Hồ Nhâm Ngao bệnh thả tử, vị Đà viết: "Văn Trần Thắng đẳng tác loạn, dân tâm vị chi sở phụ.
此土僻遠吾恐群盗侵犯至此欲以絶道秦所開自備待諸侯變會	Thử thổ tích viễn, ngô khủng quần đạo xâm phạm, chí thử dục dĩ tuyệt đạo [Tần sở khai, tự bị, đãi chư hầu biến hội".
病甚曰番禺漢曰南城負山阻水東西各數千里頗有秦人相輔亦足見國興王爲一方之主也	Bệnh thậm viết: "Phiên Ngung [Hán viết Nam Thành] phụ sơn trở thuỷ, Đông Tây các sổ thiên lí, pha hữu Tần nhân tương phụ, diệc túc kiến quốc, hưng vương, vi nhất phương chi chủ dã.
郡中長吏無足與謀者故特召公告之	Quận trung trưởng lại vô túc dữ mưu giả, cố đặc triệu công cáo chi".
因以佗自代	Nhân dĩ Đà tự đại.
囂死佗即移檄告横浦陽山潢谿關曰盗兵且至急絶道聚兵自守	Ngao tử, Đà tức di hịch cáo Hoành Phố, Dương Sơn, Hoàng Khê, quan viết: "Đạo binh thả chí, cấp tuyệt đạo, tụ binh tự thủ".
檄至州郡皆應之	Hịch chí, châu quận giai ứng chi.
於是盡殺秦所至長吏以其親黨代爲守	Ư thị tận sát Tần sở chí trưởng lại, dĩ kì thân đảng đại vi thú.
佗發兵攻王王不知弩機已失	Đà phát binh công vương, vương bất tri nỗ cơ dĩ thất,..
圍棊笑曰佗不畏吾神弩耶佗軍逼近王舉弩已折矣	vi kì tiếu viết: "Đà bất uý ngô thần nỗ da?" Đà quân bức cận, vương cử nỗ dĩ triết hĩ.
尋走敗坐媚珠於馬上與王南奔	Tầm tẩu bại, toạ Mị Châu ư mã thượng, dữ vương Nam bôn.
仲始認鵝毛追之	Trọng Thuỷ nhận nga mao truy chi.
王至海濱途窮無舟楫連呼金龜速來救我金龜湧出水上叱曰乘馬後者是賊也盍殺之	Vương chí hải tân, đồ cùng vô chu tiếp, liên hô Kim quy: "Tốc lai cứu ngã!" Kim quy dũng xuất thuỷ thượng sất viết: "Thừa mã hậu giả thị tặc dã, hạp sát chi?".
王拨劍欲斬媚珠媚珠祝曰忠信一節爲人所詐願化爲珠玉雪此讐耻	Vương bạt kiếm dục trảm Mị Châu, Mị Châu chúc viết: "Trung tín nhất tiết, vi nhân sở trá, nguyện hoá vi châu ngọc tuyết thử thù sỉ".
王竟斬之血流水上蛤蚌含入心化成明珠	Vương cánh trảm chi, huyết lưu thuỷ thượng, cáp bạng hàm nhập tâm hoá thành minh châu.
王持七寸文犀入海去今辟水犀也	Vương trì thất thốn văn tê nhập hải khứ [Kim bích thuỷ tê dã.
世傳演州高舍社夜山是其處	Thế truyền Diễn Châu Cao Xá xã Dạ Sơn thị kì xứ].
仲始追及之見媚珠以死慟哭抱其尸歸葬螺城化爲玉石	Trọng Thuỷ truy cập chi, kiến Mị Châu dĩ tử, đỗng khốc bão kì thi quy táng Loa thành, hoá vi ngọc thạch.
仲始懷惜媚珠還於粧	Trọng Thuỷ hoài tích Mị Châu, hoàn ư trang..
浴處悲想不自勝竟投身井底死	dục xứ, bi tưởng bất tự thăng, cánh đầu thân tỉnh để tử.
後人得東海明珠以井水洗之色愈光瑩	Hậu nhân đắc Đông hải minh châu, dĩ tỉnh thuỷ tẩy chi, sắc dũ quang oánh.
史臣吳士連曰金龜之説信乎有莘降神石能言容或有之	Sử thần Ngô Sĩ Liên viết: Kim quy chi thuyết tín hồ? hữu Sần giáng thần, thạch năng ngôn dung hoặc hữu chi.
蓋神於人而行詫物以言也	Cái thần ư nhân nhi hành, sá vật dĩ ngôn dã.
國之將興神明降之以監其德將亡神亦降之以觀其惡	Quốc chi tương hưng, thần minh giáng chi dĩ giám kì đức; tương vong, thần diệc giáng chi dĩ quan kì ác.
故有待神以興亦有以亡	Cố hữu đãi thần dĩ hưng, diệc hữu dĩ vong.
安陽王興功築城之役有不節民力故神託金龜告之非怨讟動乎民而能然耶猶似之也	An Dương Vương hưng công trúc thành chi dịch hữu bất tiết dân lực, cố thần thác kim quy cáo chi, phi oán độc động hồ dân nhi năng nhiên da? Do tự chi dã.
及其憂後患而要請於神則私意起矣	Cập kì ưu hậu hoạn nhi yếu thỉnh ư thần, tắc tư ý khởi hĩ.
私意一萌則天理隨滅神	Tư ý nhất manh tắc thiên lí tuỳ diệt, thần..
安得不羞以禍耶其脱靈爪付之謂是以却其禍之萌乎如神有賜虢土田之命而虢隨以亡也	an đắc bất tu dĩ hoạ da! Kì thoát linh trảo phó chi, vị thị dĩ khước địch, kì hoạ chi manh hồ? Như thần hữu tứ Quắc thổ điền chi mệnh, nhi Quắc tuỳ dĩ vong dã.
厥後果然	Quyết hậu quả nhiên.
何莫非依人而行也如無要請之言但循理而行安知國祚之不長久乎至於媚珠鵝毛表道之事未必有也	Hà mạc phi y nhân nhi hành dã? Như vô yếu thỉnh chi ngôn, đãn tuần lí nhi hành, an tri quốc tộ chi bất trường cửu hồ? Chí ư Mị Châu nga mao biểu đạo chi sự, vị tất hữu dã.
如或有之僅一見焉可也後趙越王女再模倣言之何耶蓋編史者以蜀趙亡國之由皆出於女壻故因一事而两言之歟然則鬼能𮥠城亦信乎曰伯有爲厲之類也彼立其後得所歸而止	Như hoặc hữu chi cẩn nhất kiến yên khả dã, hậu Triệu Việt Vương nữ tái mạc phỏng ngôn chi, hà da? Cái biên sử giả dĩ Thục, Triệu vong quốc chi do giai xuất ư nữ tế, cố nhân nhất sự nhi lưỡng ngôn chi dư? Nhiên tắc quỷ năng huy thành diệc tín hồ? Viết: Bá Hữu vi lệ chi loại dã, bỉ lập kì hậu đắc sở quy nhi chỉ.
此除其妖無	Thử trừ kì yêu, vô..
所附而止	sở phụ nhi chỉ.
至於史記安陽王敗亡因神弩易機趙越王敗亡因兜鍪失爪乃假辞以神其物爾	Chí ư sử ký An Dương Vương bại vong, nhân thần nỗ dịch cơ, Triệu Việt Vương bại vong, nhân Đâu mâu thất trảo, nãi giả từ dĩ thần kì vật nhĩ.
若夫固國禦戒自有其道得道者多助而興失道者寡助而亡非爲此也	Nhược phu cố quốc ngự giới tự hữu kì đạo, đắc đạo giả đa trợ nhi hưng, thất đạo giả quả trợ nhi vong, phi vi thử dã.
右安陽王起甲辰終癸巳凣五十年	Hữu An Dương Vương, khởi Giáp Thìn, chung Quý Tị, phàm ngũ thập niên.
大越史記外紀全書卷之一終	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư quyển chi nhất chung.
