han	phien_am
節下奉辞伐罪當死生以之𡸈可逗瀏不進長寇沮眾乎	Tiết hạ phụng từ phạt tội, đương tử sinh dĩ chi khởi, khả đậu lưu bất tiến trường khấu tự chúng hồ?".
遂勒眾先發𭛁以覇先爲前鋒	Toại lặc chúng tiên phát, phát dĩ Bá Tiên vi tiền phong.
至州帝率眾三萬拒之敗於朱鳶又敗於蘇歷江口帝奔嘉寧城	Chí châu, đế suất chúng tam vạn cự chi, bại ư Chu Diên, hựu bại ư Tô Lịch giang khẩu, Đế bôn Gia Ninh thành.
梁兵追圍之	Lương binh truy vi chi.
丙寅三年梁中大同元年	Bính Dần tam niên, [Lương Trung Đại Đồng nguyên niên].
春正月覇先等克嘉寧城	Xuân, chính nguyệt, Bá Tiên đẳng khắc Gia Ninh thành.
帝入新昌獠中	Đế nhập Tân Xương Lạo trung.
梁兵遂屯嘉寧江口	Lương binh toại đồn Gia Ninh giang khẩu.
秋八月帝復率二萬自獠中率屯典澈湖大造舟艦充塞湖中	Thu, bát nguyệt, Đế phục suất nhị vạn tự Lạo trung xuất đồn Điển Triệt hồ, đại tạo chu hạm sung tắc hồ trung.
梁兵憚之頓湖口不敢進	Lương binh đạn chi đồn hồ khẩu, bất cảm tiến.
覇先謂諸將曰我師已老將士疲勞且孤軍無援入人心腹若一戰不利𡸈望生全	Bá Tiên vị chư tướng viết: "Ngã sư dĩ lão, tướng sĩ bì lao, thả cô quân vô viện, nhập nhân tâm phúc, nhược nhất chiến bất lợi, khởi vọng sinh toàn.
今藉其屢敗人情未固夷獠烏合易爲摧殄正當共出百死决力取之無故停留時事去矣	Kim tịch kì lũ bại, nhân tình vị cố, Di Lạo ô hợp, dị vi thôi điển, chính đương cộng xuất bách tử quyết lực thủ chi, vô cố đình lưu thời sự khứ hĩ".
諸將皆默然莫應	Chư tướng giai mặc nhiên mạc ứng.
是夜江水暴漲七尺注湖中	Thị dạ, giang thuỷ bạo trướng thất xích, chú hồ trung.
覇先勒所部兵隨流水先進	Bá Tiên lặc sở bộ binh tuỳ lưu thuỷ tiên tiến.
梁眾皷譟而前	Lương chúng cổ táo nhi tiền.
帝素不爲	Đế tố bất vi..
備因大潰退保屈獠洞中治兵欲復戰委大將趙光復守國調兵擊覇先	bị, nhân đại hội, thoái bảo Khuất Lạo động trung, trị binh dục phục chiến, uỷ đại tướng Triệu Quang Phục thủ quốc, điều binh kích Bá Tiên.
丁卯四年梁太清元年	Đinh Mão tứ niên [Lương Thái Thanh nguyên niên].
春正月朔日食	Xuân, chính nguyệt, sóc, nhật thực.
趙光復與陳覇先將持未决勝負	Triệu Quang Phục dữ Trần Bá Tiên tương trì, vị quyết thắng phụ.
而覇先軍甚盛光復度不能之乃退保夜澤其澤在朱鳶周廻不知里數草木榛莽叢薄交蔽中有基地可居四靣泥淖沮洳人馬難行惟用獨木小舟篙行於水草之上乃可到	Nhi Bá Tiên quân thậm thịnh, Quang Phục độ bất năng chi, nãi thoái bảo Dạ Trạch, kì Trạch tại Chu Diên, chu hồi bất tri lí sổ, thảo mộc trăn mãng, tùng bạc giao tế, trung hữu cơ địa khả cư, tứ diện nê náo, tự như nhân mã nan hành, duy dụng độc mộc tiểu chu, sào hành ư thuỷ thảo chi thượng nãi khả đáo.
然非諳識岐路則迷不知處誤墮水中爲虫蛇所傷死	Nhiên phi am thức kì lộ, tắc mê bất tri xứ, ngộ đoạ thuỷ trung vi trùng xà sở thương tử.
光復諳得脉絡率二萬餘人屯澤中址晝則泯	Quang Phục am đắc mạch lạc, suất nhị vạn dư nhân đồn trạch trung chỉ, trú tắc dẫn..
